site,sim,terr,MAE
KDI-E-Org2,era5,4,2.2723779678344727
KDI-E-Org2,jra55,4,2.2669811248779297
KDI-E-Org2,merra2,4,6.855684757232666
KDI-E-Trees,era5,4,3.564409017562866
KDI-E-Trees,jra55,4,2.8838188648223877
KDI-E-Trees,merra2,4,5.867077827453613
KDI-E-Tslp,era5,3,3.7604684829711914
KDI-E-Tslp,jra55,3,2.8189244270324707
KDI-E-Tslp,merra2,3,6.960576057434082
KDI-E-Ttop,era5,3,3.680551528930664
KDI-E-Ttop,jra55,3,2.7085587978363037
KDI-E-Ttop,merra2,3,6.361177921295166
KDI-E-Wet,era5,4,2.344705104827881
KDI-E-Wet,jra55,4,2.105278730392456
KDI-E-Wet,merra2,4,5.007453441619873
KDI-W-Org1,era5,4,2.7130744457244873
KDI-W-Org1,jra55,4,1.9317173957824707
KDI-W-Org1,merra2,4,5.498982906341553
KDI-W-Org2,era5,4,2.6471073627471924
KDI-W-Org2,jra55,4,2.3242812156677246
KDI-W-Org2,merra2,4,5.714334964752197
KDI-W-ShrubM1,era5,2,1.7968121767044067
KDI-W-ShrubM1,jra55,2,1.5280910730361938
KDI-W-ShrubM1,merra2,2,2.9784047603607178
KDI-W-ShrubM2,era5,4,2.097177028656006
KDI-W-ShrubM2,jra55,4,1.7729012966156006
KDI-W-ShrubM2,merra2,4,4.736408233642578
KDI-W-ShrubT,era5,4,3.596825122833252
KDI-W-ShrubT,jra55,4,2.6733365058898926
KDI-W-ShrubT,merra2,4,5.178880214691162
KDI-W-Snowdrift,era5,3,2.6034231185913086
KDI-W-Snowdrift,jra55,3,1.6095013618469238
KDI-W-Snowdrift,merra2,3,3.817747116088867
KDI-W-Tbot,era5,3,2.939483165740967
KDI-W-Tbot,jra55,3,1.9082210063934326
KDI-W-Tbot,merra2,3,5.299283981323242
KDI-W-Trees,era5,3,3.029914379119873
KDI-W-Trees,jra55,3,2.1868038177490234
KDI-W-Trees,merra2,3,5.368912220001221
