,site,sim,szn,terr,data_avail,BIAS,MAE,R,WILL
0,KDI-W-ShrubM1,era5,ALL,2,1477.0,-0.02290067883743439,0.025809062644839287,0.004037844698789394,0.004867427382069912
1,KDI-W-ShrubM1,era5,JAN,2,124.0,-0.03502505359456875,0.03643403947353363,0.006035583721581098,0.00521060400644018
2,KDI-W-ShrubM1,era5,FEB,2,113.0,-0.029226621192358436,0.04309818893671036,0.004353952287053953,0.005076138080021752
3,KDI-W-ShrubM1,era5,MAR,2,124.0,-0.0277723483389616,0.029921669512987137,0.002745461920584086,0.004494471924003276
4,KDI-W-ShrubM1,era5,APR,2,120.0,-0.022349138200096787,0.023813234642148018,0.005318722716517354,0.00474961794448281
5,KDI-W-ShrubM1,era5,MAY,2,124.0,-0.02432417246043682,0.024653563275933266,0.0044507702567891895,0.0050775363222742755
6,KDI-W-ShrubM1,era5,JUN,2,120.0,-0.029642328275144098,0.029198894277215004,0.00517684689994251,0.005077178900745744
7,KDI-W-ShrubM1,era5,JUL,2,139.0,-0.023213843774795535,0.02512235939502716,0.003055605388896884,0.004799211722385404
8,KDI-W-ShrubM1,era5,AUG,2,125.0,-0.0221445048648119,0.022512312978506088,0.0015544306252991379,0.0049278811489982385
9,KDI-W-ShrubM1,era5,SEP,2,120.0,-0.019058524778187272,0.018741469830274582,0.0020891653544760184,0.0050357756871652675
10,KDI-W-ShrubM1,era5,OCT,2,124.0,-0.008454667148888111,0.00890329945832491,0.004591607677615416,0.00484679863690107
11,KDI-W-ShrubM1,era5,NOV,2,120.0,-0.0217621087712422,0.02192460186779499,0.005565547406285322,0.005061655486438799
12,KDI-W-ShrubM1,era5,DEC,2,124.0,-0.026068322899737394,0.027849778532981873,0.004509966874837432,0.004714826350689306
13,KDI-W-ShrubM1,jra55,ALL,2,1477.0,-0.005540618095279206,0.015847401693463326,0.0042834500451642,0.004728698140569817
14,KDI-W-ShrubM1,jra55,JAN,2,124.0,-0.014877595636136831,0.01733792945742607,0.005663497862608183,0.004925338939425737
15,KDI-W-ShrubM1,jra55,FEB,2,113.0,-0.008496399639844894,0.026001213118433952,0.004781840781887084,0.005028579497372231
16,KDI-W-ShrubM1,jra55,MAR,2,124.0,0.0046079975447827016,0.02538103051483631,0.0036513797008090433,0.0045497894015082176
17,KDI-W-ShrubM1,jra55,APR,2,120.0,0.01206444803616032,0.018169304355978966,0.004044769314972303,0.004841327400371045
18,KDI-W-ShrubM1,jra55,MAY,2,124.0,0.007341217321623116,0.011357349343597889,0.00567479316790579,0.005109553229641205
19,KDI-W-ShrubM1,jra55,JUN,2,120.0,-0.0068375830750912435,0.011481703259050846,0.004475365016442562,0.005064298714107589
20,KDI-W-ShrubM1,jra55,JUL,2,139.0,-0.0012624197703599927,0.012293311767280102,0.0031839455024534995,0.0039551903818370185
21,KDI-W-ShrubM1,jra55,AUG,2,125.0,-0.006539618128780276,0.01211255881935358,0.0018331547586845655,0.004463156591161766
22,KDI-W-ShrubM1,jra55,SEP,2,120.0,-0.01299268668681383,0.014324406161904335,0.0027896578245922734,0.005085501516950116
23,KDI-W-ShrubM1,jra55,OCT,2,124.0,-0.00859288794990629,0.009617260657250881,0.004915745327403701,0.004998369811702034
24,KDI-W-ShrubM1,jra55,NOV,2,120.0,-0.023615462681651118,0.02337437868118286,0.005320088008166692,0.005062869050867691
25,KDI-W-ShrubM1,jra55,DEC,2,124.0,-0.013309717977135444,0.014422287233173847,0.005805470818119523,0.0050033883320157796
26,KDI-W-ShrubM1,merra2,ALL,2,1477.0,-0.025650744990659877,0.033050742000341415,0.0018763998062962352,0.004697866358163517
