clust,sitename,years,months,depth
NG,NGO-RC-169,6,13,0.1
NG,Bushloggers,6,13,0.1
NG,NGO-RC-170,6,13,0.1
NG,NGO-RC-171,6,13,0.1
NG,NGO-RC-162,6,13,0.1
NG,NGO-RC-163,6,13,0.1
NG,NGO-RC-164,6,13,0.1
NG,NGO-RC-165,6,13,0.1
NG,NGO-RC-166,6,13,0.1
NG,NGO-RC-167,6,13,0.1
NG,NGO-RC-168,6,13,0.1
NG,NGO-DD-1004,6,13,0.1
NG,NGO-DD-2005,6,13,0.1
NG,NGO-DD-1005,6,13,0.1
NG,NGO-DD-2004,6,13,0.1
NG,NGO-DD-2006,6,13,0.1
NG,NGO-DD-2007,6,13,0.1
NG,NGO-DD-2011,6,13,0.1
NG,NGO-DD-2012,6,13,0.1
NG,NGO-DD-2035,6,13,0.1
NG,NGO-RC-172,6,13,0.1
NG,NGO-DD-2013,6,13,0.1
NG,ROCKT1,6,13,0.1
NG,ROCKT2,6,13,0.1
NG,ROCKT3,6,13,0.1
NG,NGO-DD-1009,6,13,0.1
NG,NGO-DD-2015,6,13,0.1
NG,NGO-DD-1010,6,13,0.1
NG,NGO-DD-2014,6,13,0.1
NG,NGO-DD-2016,6,13,0.1
NG,NGO-DD-1011,6,13,0.1
NG,NGO-DD-2019,6,13,0.1
NG,NGO-DD-2018,6,13,0.1
NG,NGO-DD-1012,6,13,0.1
NG,NGO-GU-1014,6,13,0.1
NG,NGO-DD-2009,6,13,0.1
NG,NGO-DD-2033,6,13,0.1
NG,NGO-DD-2034,6,13,0.1
NG,NGO-DD-2008,6,13,0.1
NG,NGO-DD-2029,6,13,0.1
NG,NGO-DD-2020,6,13,0.1
NG,NGO-DD-2023,6,13,0.1
NG,NGO-DD-2026,6,13,0.1
NG,NGO-DD-2032,6,13,0.1
NG,NGO-DD-2030,6,13,0.1
YK,YK16-SO01,5,13,0.1
YK,YK16-SO02,5,13,0.1
YK,YK16-RH01,5,13,0.1
YK,YK16-SO03,5,13,0.1
YK,YK16-RH02,5,13,0.1
YK,YK16-RV01,5,13,0.1
YK,YK16-RV02,5,13,0.1
YK,YK16-RH03,5,13,0.1
YK,YK16-SO04,5,13,0.1
YK,YK16-SO05,5,13,0.1
YK,YK16-RV03,5,13,0.1
YK,YK16-RV04,5,13,0.1
YK,YK16-SO06,5,13,0.1
YK,YK16-SO07,5,13,0.1
YK,YK16-SO08,5,13,0.1
YK,YK16-SO09,5,13,0.1
YK,YK16-SO10,5,13,0.1
YK,YK16-SO11,5,13,0.1
YK,YK16-SO12,5,13,0.1
YK,YK16-SO13,5,13,0.1
KD,KDI-E-ShrubM,3,12,0.1
KD,KDI-W-Snowdrift,3,12,0.1
KD,KDI-W-Tslp,3,12,0.1
KD,KDI-W-ShrubT,3,12,0.1
KD,KDI-W-Trees,3,12,0.1
KD,KDI-W-Ttop,3,12,0.1
KD,KDI-W-Wet1,3,12,0.1
KD,KDI-W-ShrubM2,3,12,0.1
KD,KDI-E-Wet,3,12,0.5
KD,KDI-E-Org2,3,12,0.5
KD,KDI-E-ShrubT,3,12,0.5
KD,KDI-E-Tbot,3,12,0.5
KD,KDI-E-Trees,3,12,0.5
KD,KDI-E-Tslp,3,12,0.5
KD,KDI-E-Ttop,3,12,0.5
KD,KDI-W-Org1,3,12,0.5
KD,KDI-W-Org2,3,12,0.5
KD,KDI-W-ShrubM1,3,12,0.5
KD,KDI-W-Tbot,3,12,0.5
KD,KDI-W-Wet2,3,12,0.5
