,sim,szn,terr,data_avail,rank,rank_stat
0,ens,APR,1,630.0,2.0,0.494
1,ens,APR,2,390.0,3.0,0.499
2,ens,APR,3,240.0,1.0,0.463
3,ens,APR,4,150.0,2.0,0.437
4,ens,APR,5,180.0,1.0,0.493
5,ens,APR,6,180.0,1.0,0.474
6,ens,APR,7,180.0,4.0,0.512
7,ens,APR,8,300.0,3.0,0.5
8,ens,APR,9,180.0,1.0,0.429
9,ens,APR,10,120.0,2.0,0.498
10,ens,APR,11,210.0,2.0,0.497
11,ens,APR,12,120.0,4.0,0.5
12,ens,APR,13,120.0,2.0,0.493
13,ens,APR,14,150.0,3.0,0.5
14,ens,APR,15,270.0,1.0,0.477
15,ens,APR,16,30.0,4.0,0.5
16,ens,AUG,1,627.0,3.0,0.47
17,ens,AUG,2,404.0,3.0,0.497
18,ens,AUG,3,279.0,3.0,0.489
19,ens,AUG,4,155.0,2.0,0.494
20,ens,AUG,5,249.0,4.0,0.5
21,ens,AUG,6,124.0,2.0,0.447
22,ens,AUG,7,212.0,1.0,0.459
23,ens,AUG,8,303.0,3.0,0.504
24,ens,AUG,9,182.0,3.0,0.481
25,ens,AUG,10,124.0,1.0,0.413
26,ens,AUG,11,214.0,2.0,0.509
27,ens,AUG,12,93.0,2.0,0.47
28,ens,AUG,13,124.0,2.0,0.497
29,ens,AUG,14,187.0,4.0,0.501
30,ens,AUG,15,280.0,4.0,0.5
31,ens,AUG,16,62.0,4.0,0.5
32,ens,DEC,1,341.0,3.0,0.497
33,ens,DEC,2,279.0,3.0,0.502
34,ens,DEC,3,155.0,3.0,0.483
35,ens,DEC,4,93.0,3.0,0.503
36,ens,DEC,5,186.0,3.0,0.513
37,ens,DEC,6,93.0,4.0,0.543
38,ens,DEC,7,124.0,3.0,0.506
39,ens,DEC,8,310.0,3.0,0.504
40,ens,DEC,9,186.0,3.0,0.5
41,ens,DEC,10,62.0,1.0,0.441
42,ens,DEC,11,186.0,2.0,0.501
43,ens,DEC,12,62.0,4.0,0.5
44,ens,DEC,13,62.0,3.0,0.516
45,ens,DEC,14,155.0,4.0,0.512
46,ens,DEC,15,279.0,1.0,0.472
47,ens,DEC,16,31.0,3.0,0.5
48,ens,FEB,1,599.0,3.0,0.493
49,ens,FEB,2,369.0,2.0,0.49
50,ens,FEB,3,227.0,2.0,0.471
51,ens,FEB,4,142.0,4.0,0.5
52,ens,FEB,5,169.0,4.0,0.521
53,ens,FEB,6,171.0,4.0,0.506
54,ens,FEB,7,170.0,2.0,0.489
55,ens,FEB,8,282.0,4.0,0.5
56,ens,FEB,9,169.0,4.0,0.5
57,ens,FEB,10,114.0,1.0,0.479
58,ens,FEB,11,198.0,4.0,0.5
59,ens,FEB,12,114.0,4.0,0.5
60,ens,FEB,13,114.0,4.0,0.5
61,ens,FEB,14,141.0,1.0,0.478
62,ens,FEB,15,254.0,1.0,0.468
63,ens,FEB,16,28.0,,
64,ens,JAN,1,641.0,2.0,0.487
65,ens,JAN,2,399.0,2.0,0.498
66,ens,JAN,3,245.0,2.0,0.498
67,ens,JAN,4,153.0,4.0,0.5
68,ens,JAN,5,186.0,2.0,0.499
69,ens,JAN,6,183.0,1.0,0.471
70,ens,JAN,7,184.0,3.0,0.511
71,ens,JAN,8,310.0,4.0,0.5
72,ens,JAN,9,186.0,4.0,0.5
73,ens,JAN,10,122.0,1.0,0.456
74,ens,JAN,11,216.0,2.0,0.5
75,ens,JAN,12,122.0,4.0,0.5
76,ens,JAN,13,122.0,2.0,0.469
77,ens,JAN,14,155.0,1.0,0.497
78,ens,JAN,15,279.0,1.0,0.466
79,ens,JAN,16,31.0,4.0,0.5
80,ens,JUL,1,651.0,2.0,0.46
81,ens,JUL,2,418.0,3.0,0.49
82,ens,JUL,3,264.0,3.0,0.472
83,ens,JUL,4,155.0,3.0,0.495
84,ens,JUL,5,233.0,3.0,0.5
85,ens,JUL,6,161.0,1.0,0.434
86,ens,JUL,7,186.0,1.0,0.414
87,ens,JUL,8,310.0,3.0,0.498
