,sim,szn,terr,data_avail,rank,rank_stat
0,ens,APR,1,1200.0,2.0,2.17
1,ens,APR,2,300.0,1.0,1.62
2,ens,APR,3,180.0,1.0,0.743
3,ens,APR,4,30.0,2.0,3.95
4,ens,APR,5,30.0,2.0,5.06
5,ens,APR,6,0.0,,
6,ens,APR,7,90.0,1.0,0.743
7,ens,APR,10,120.0,3.0,0.886
8,ens,APR,11,60.0,2.0,1.14
9,ens,APR,12,60.0,2.0,9.43
10,ens,APR,13,120.0,1.0,1.93
11,ens,APR,14,150.0,3.0,4.87
12,ens,APR,16,30.0,2.0,0.971
13,ens,AUG,1,1335.0,2.0,4.35
14,ens,AUG,2,310.0,3.0,4.12
15,ens,AUG,3,186.0,2.0,2.31
16,ens,AUG,4,0.0,,
17,ens,AUG,5,62.0,2.0,1.36
18,ens,AUG,6,0.0,,
19,ens,AUG,7,93.0,2.0,4.25
20,ens,AUG,10,124.0,2.0,1.14
21,ens,AUG,11,62.0,2.0,1.98
22,ens,AUG,12,62.0,2.0,4.98
23,ens,AUG,13,124.0,2.0,1.44
24,ens,AUG,14,187.0,2.0,1.61
25,ens,AUG,16,62.0,3.0,1.7
26,ens,DEC,1,806.0,3.0,3.0
27,ens,DEC,2,155.0,3.0,2.58
28,ens,DEC,3,93.0,1.0,1.57
29,ens,DEC,4,0.0,,
30,ens,DEC,5,31.0,2.0,0.113
31,ens,DEC,6,0.0,,
32,ens,DEC,7,31.0,2.0,2.58
33,ens,DEC,10,62.0,2.0,0.442
34,ens,DEC,11,31.0,2.0,1.58
35,ens,DEC,12,31.0,3.0,8.07
36,ens,DEC,13,62.0,2.0,1.82
37,ens,DEC,14,155.0,2.0,3.27
38,ens,DEC,16,31.0,3.0,0.38
39,ens,FEB,1,1165.0,1.0,2.61
40,ens,FEB,2,285.0,2.0,5.74
41,ens,FEB,3,171.0,1.0,2.02
42,ens,FEB,4,29.0,,
43,ens,FEB,5,28.0,,
44,ens,FEB,6,0.0,,
45,ens,FEB,7,86.0,2.0,1.45
46,ens,FEB,10,114.0,2.0,1.01
47,ens,FEB,11,57.0,3.0,4.04
48,ens,FEB,12,57.0,2.0,13.5
49,ens,FEB,13,114.0,2.0,2.19
50,ens,FEB,14,141.0,3.0,6.06
51,ens,FEB,16,28.0,,
52,ens,JAN,1,1256.0,1.0,3.02
53,ens,JAN,2,305.0,2.0,4.84
54,ens,JAN,3,183.0,2.0,3.39
55,ens,JAN,4,30.0,2.0,8.38
56,ens,JAN,5,31.0,2.0,0.639
57,ens,JAN,6,0.0,,
58,ens,JAN,7,91.0,1.0,0.889
59,ens,JAN,10,122.0,2.0,0.893
60,ens,JAN,11,61.0,3.0,3.53
61,ens,JAN,12,61.0,2.0,12.8
62,ens,JAN,13,122.0,1.0,1.11
63,ens,JAN,14,155.0,3.0,6.87
64,ens,JAN,16,31.0,1.0,0.398
65,ens,JUL,1,1312.0,2.0,5.1
66,ens,JUL,2,290.0,3.0,4.62
67,ens,JUL,3,186.0,1.0,2.77
68,ens,JUL,4,0.0,,
69,ens,JUL,5,49.0,3.0,0.911
70,ens,JUL,6,0.0,,
71,ens,JUL,7,93.0,2.0,6.09
72,ens,JUL,10,124.0,1.0,1.23
73,ens,JUL,11,62.0,2.0,2.75
74,ens,JUL,12,62.0,2.0,6.16
75,ens,JUL,13,124.0,2.0,1.51
76,ens,JUL,14,183.0,2.0,0.871
77,ens,JUL,16,42.0,3.0,1.59
78,ens,JUN,1,1200.0,2.0,3.18
79,ens,JUN,2,270.0,2.0,2.21
80,ens,JUN,3,180.0,3.0,2.0
81,ens,JUN,4,0.0,,
82,ens,JUN,5,30.0,2.0,0.46
83,ens,JUN,6,0.0,,
84,ens,JUN,7,90.0,2.0,3.21
85,ens,JUN,10,120.0,1.0,0.66
86,ens,JUN,11,60.0,3.0,0.624
87,ens,JUN,12,60.0,3.0,4.14
88,ens,JUN,13,120.0,3.0,1.14
89,ens,JUN,14,150.0,1.0,0.45
90,ens,JUN,16,30.0,2.0,1.33
91,ens,MAR,1,1267.0,1.0,2.58
92,ens,MAR,2,310.0,1.0,2.86
93,ens,MAR,3,186.0,1.0,1.63
94,ens,MAR,4,30.0,2.0,6.23
95,ens,MAR,5,31.0,2.0,4.52
96,ens,MAR,6,0.0,,
97,ens,MAR,7,93.0,1.0,0.863
98,ens,MAR,10,124.0,3.0,1.11
99,ens,MAR,11,62.0,3.0,2.95
100,ens,MAR,12,62.0,2.0,11.9
101,ens,MAR,13,124.0,1.0,2.44
102,ens,MAR,14,155.0,3.0,6.11
103,ens,MAR,16,31.0,2.0,0.174
104,ens,MAY,1,1240.0,2.0,1.58
105,ens,MAY,2,306.0,2.0,1.29
106,ens,MAY,3,186.0,3.0,2.85
107,ens,MAY,4,15.0,,
108,ens,MAY,5,31.0,2.0,3.13
109,ens,MAY,6,0.0,,
110,ens,MAY,7,93.0,2.0,0.67
111,ens,MAY,10,124.0,1.0,0.499
112,ens,MAY,11,62.0,3.0,1.08
113,ens,MAY,12,62.0,3.0,8.08
114,ens,MAY,13,124.0,1.0,1.08
115,ens,MAY,14,155.0,2.0,1.45
116,ens,MAY,16,31.0,2.0,0.519
117,ens,NOV,1,780.0,2.0,1.77
118,ens,NOV,2,150.0,2.0,0.732
119,ens,NOV,3,90.0,3.0,0.624
120,ens,NOV,4,0.0,,
121,ens,NOV,5,30.0,1.0,0.00775
122,ens,NOV,6,0.0,,
123,ens,NOV,7,30.0,3.0,1.19
124,ens,NOV,10,60.0,1.0,0.102
125,ens,NOV,11,30.0,3.0,0.23
126,ens,NOV,12,30.0,3.0,2.76
127,ens,NOV,13,60.0,2.0,1.43
128,ens,NOV,14,150.0,1.0,0.335
129,ens,NOV,16,30.0,2.0,0.316
130,ens,OCT,1,806.0,3.0,0.555
131,ens,OCT,2,155.0,3.0,0.416
132,ens,OCT,3,93.0,1.0,0.407
133,ens,OCT,4,0.0,,
134,ens,OCT,5,31.0,1.0,0.0173
135,ens,OCT,6,0.0,,
136,ens,OCT,7,31.0,1.0,1.03
137,ens,OCT,10,62.0,2.0,0.418
138,ens,OCT,11,31.0,2.0,0.112
139,ens,OCT,12,31.0,1.0,0.23
140,ens,OCT,13,62.0,1.0,0.852
141,ens,OCT,14,155.0,1.0,0.154
142,ens,OCT,16,31.0,3.0,0.556
143,ens,SEP,1,957.0,3.0,2.2
144,ens,SEP,2,205.0,3.0,2.09
145,ens,SEP,3,124.0,1.0,1.04
146,ens,SEP,4,0.0,,
147,ens,SEP,5,40.0,1.0,0.388
148,ens,SEP,6,0.0,,
149,ens,SEP,7,50.0,1.0,0.491
150,ens,SEP,10,80.0,2.0,1.04
151,ens,SEP,11,41.0,2.0,1.15
152,ens,SEP,12,42.0,2.0,2.07
153,ens,SEP,13,83.0,2.0,1.05
154,ens,SEP,14,160.0,1.0,0.543
155,ens,SEP,16,41.0,3.0,2.0
156,era5,APR,1,1200.0,3.0,2.46
157,era5,APR,2,300.0,4.0,3.1
158,era5,APR,3,180.0,3.0,1.43
159,era5,APR,4,30.0,4.0,6.36
160,era5,APR,5,30.0,1.0,2.44
161,era5,APR,6,0.0,,
162,era5,APR,7,90.0,3.0,1.59
163,era5,APR,10,120.0,4.0,1.55
164,era5,APR,11,60.0,4.0,4.36
165,era5,APR,12,60.0,3.0,10.7
166,era5,APR,13,120.0,3.0,2.62
167,era5,APR,14,150.0,1.0,1.69
168,era5,APR,16,30.0,3.0,2.45
169,era5,AUG,1,1335.0,3.0,4.37
170,era5,AUG,2,310.0,2.0,4.05
171,era5,AUG,3,186.0,1.0,2.3
172,era5,AUG,4,0.0,,
173,era5,AUG,5,62.0,3.0,1.6
174,era5,AUG,6,0.0,,
175,era5,AUG,7,93.0,3.0,4.8
176,era5,AUG,10,124.0,1.0,0.594
177,era5,AUG,11,62.0,4.0,2.95
178,era5,AUG,12,62.0,3.0,5.49
179,era5,AUG,13,124.0,4.0,1.87
180,era5,AUG,14,187.0,3.0,2.13
181,era5,AUG,16,62.0,1.0,0.704
182,era5,DEC,1,806.0,4.0,3.91
183,era5,DEC,2,155.0,4.0,4.47
184,era5,DEC,3,93.0,4.0,2.26
185,era5,DEC,4,0.0,,
186,era5,DEC,5,31.0,1.0,0.0741
