,stat,sim,szn,terr,data_avail,rank,rank_stat
0,MAE,ens,APR,1,300.0,3.0,1.8
1,MAE,ens,APR,2,120.0,1.0,1.58
2,MAE,ens,APR,3,0.0,,
3,MAE,ens,APR,4,720.0,3.0,2.45
4,MAE,ens,APR,5,360.0,2.0,1.84
5,MAE,ens,AUG,1,307.0,3.0,4.53
6,MAE,ens,AUG,2,125.0,3.0,2.95
7,MAE,ens,AUG,3,0.0,,
8,MAE,ens,AUG,4,750.0,3.0,3.73
9,MAE,ens,AUG,5,375.0,3.0,4.7
10,MAE,ens,DEC,1,310.0,3.0,3.21
11,MAE,ens,DEC,2,124.0,3.0,2.36
12,MAE,ens,DEC,3,0.0,,
13,MAE,ens,DEC,4,744.0,1.0,2.0
14,MAE,ens,DEC,5,372.0,3.0,2.43
15,MAE,ens,FEB,1,282.0,2.0,1.73
16,MAE,ens,FEB,2,113.0,2.0,2.46
17,MAE,ens,FEB,3,0.0,,
18,MAE,ens,FEB,4,678.0,3.0,3.65
19,MAE,ens,FEB,5,339.0,3.0,3.54
20,MAE,ens,JAN,1,310.0,2.0,3.12
21,MAE,ens,JAN,2,124.0,4.0,2.76
22,MAE,ens,JAN,3,0.0,,
23,MAE,ens,JAN,4,744.0,2.0,2.55
24,MAE,ens,JAN,5,372.0,1.0,2.36
25,MAE,ens,JUL,1,310.0,3.0,5.31
26,MAE,ens,JUL,2,139.0,3.0,3.36
27,MAE,ens,JUL,3,0.0,,
28,MAE,ens,JUL,4,840.0,3.0,4.43
29,MAE,ens,JUL,5,426.0,3.0,5.1
30,MAE,ens,JUN,1,300.0,1.0,4.27
31,MAE,ens,JUN,2,120.0,3.0,2.68
32,MAE,ens,JUN,3,0.0,,
33,MAE,ens,JUN,4,720.0,2.0,4.01
34,MAE,ens,JUN,5,360.0,2.0,5.01
35,MAE,ens,MAR,1,310.0,1.0,1.6
36,MAE,ens,MAR,2,124.0,2.0,1.26
37,MAE,ens,MAR,3,0.0,,
38,MAE,ens,MAR,4,744.0,3.0,3.22
39,MAE,ens,MAR,5,372.0,2.0,2.26
40,MAE,ens,MAY,1,310.0,3.0,2.51
41,MAE,ens,MAY,2,124.0,2.0,1.52
