Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,100.000000 
01/01/2016 00:00,0,1,1,-2.000000 
01/01/2017 01:00,3,1,1,-25.439679 
01/01/2017 02:00,3,1,1,-25.549808 
01/01/2017 03:00,3,1,1,-25.647037 
01/01/2017 04:00,3,1,1,-25.727170 
01/01/2017 05:00,3,1,1,-25.783587 
01/01/2017 06:00,3,1,1,-25.821104 
01/01/2017 07:00,3,1,1,-25.849337 
01/01/2017 08:00,3,1,1,-25.845534 
01/01/2017 09:00,3,1,1,-25.825604 
01/01/2017 10:00,3,1,1,-25.764829 
01/01/2017 11:00,3,1,1,-25.688286 
01/01/2017 12:00,3,1,1,-25.608661 
01/01/2017 13:00,3,1,1,-25.545044 
01/01/2017 14:00,3,1,1,-25.487231 
01/01/2017 15:00,3,1,1,-25.473655 
01/01/2017 16:00,3,1,1,-25.515811 
01/01/2017 17:00,3,1,1,-25.598136 
01/01/2017 18:00,3,1,1,-25.701899 
01/01/2017 19:00,3,1,1,-25.803778 
01/01/2017 20:00,3,1,1,-25.878910 
01/01/2017 21:00,3,1,1,-25.940777 
01/01/2017 22:00,3,1,1,-26.040907 
01/01/2017 23:00,3,1,1,-26.149518 
02/01/2017 00:00,3,1,1,-26.249110 
02/01/2017 01:00,3,1,1,-26.340633 
02/01/2017 02:00,3,1,1,-26.418350 
02/01/2017 03:00,3,1,1,-26.497432 
02/01/2017 04:00,3,1,1,-26.569207 
02/01/2017 05:00,3,1,1,-26.628526 
02/01/2017 06:00,3,1,1,-26.687017 
02/01/2017 07:00,3,1,1,-26.745526 
02/01/2017 08:00,3,1,1,-26.788768 
02/01/2017 09:00,3,1,1,-26.826068 
02/01/2017 10:00,3,1,1,-26.862857 
02/01/2017 11:00,3,1,1,-26.892132 
02/01/2017 12:00,3,1,1,-26.915192 
02/01/2017 13:00,3,1,1,-26.934407 
02/01/2017 14:00,3,1,1,-26.931434 
02/01/2017 15:00,3,1,1,-26.934048 
02/01/2017 16:00,3,1,1,-26.957031 
02/01/2017 17:00,3,1,1,-26.989879 
02/01/2017 18:00,3,1,1,-27.028007 
02/01/2017 19:00,3,1,1,-27.064982 
02/01/2017 20:00,3,1,1,-27.094194 
02/01/2017 21:00,3,1,1,-27.136131 
02/01/2017 22:00,3,1,1,-27.170779 
02/01/2017 23:00,3,1,1,-27.198838 
03/01/2017 00:00,3,1,1,-27.214346 
03/01/2017 01:00,3,1,1,-27.185083 
03/01/2017 02:00,3,1,1,-27.132614 
03/01/2017 03:00,3,1,1,-27.099654 
03/01/2017 04:00,3,1,1,-27.080709 
03/01/2017 05:00,3,1,1,-27.017565 
03/01/2017 06:00,3,1,1,-26.892783 
03/01/2017 07:00,3,1,1,-26.736608 
03/01/2017 08:00,3,1,1,-26.549808 
03/01/2017 09:00,3,1,1,-26.357107 
03/01/2017 10:00,3,1,1,-26.077793 
03/01/2017 11:00,3,1,1,-25.766924 
03/01/2017 12:00,3,1,1,-25.469213 
03/01/2017 13:00,3,1,1,-25.221308 
03/01/2017 14:00,3,1,1,-24.955605 
03/01/2017 15:00,3,1,1,-24.691150 
03/01/2017 16:00,3,1,1,-24.491602 
03/01/2017 17:00,3,1,1,-24.326222 
03/01/2017 18:00,3,1,1,-24.155846 
03/01/2017 19:00,3,1,1,-24.066699 
03/01/2017 20:00,3,1,1,-24.014947 
03/01/2017 21:00,3,1,1,-23.984058 
03/01/2017 22:00,3,1,1,-24.020941 
03/01/2017 23:00,3,1,1,-24.100890 
04/01/2017 00:00,3,1,1,-24.195528 
04/01/2017 01:00,3,1,1,-24.248598 
04/01/2017 02:00,3,1,1,-24.297733 
04/01/2017 03:00,3,1,1,-24.290117 
04/01/2017 04:00,3,1,1,-24.266927 
04/01/2017 05:00,3,1,1,-24.199609 
04/01/2017 06:00,3,1,1,-24.116420 
04/01/2017 07:00,3,1,1,-24.000638 
04/01/2017 08:00,3,1,1,-23.858595 
04/01/2017 09:00,3,1,1,-23.690703 
04/01/2017 10:00,3,1,1,-23.511107 
04/01/2017 11:00,3,1,1,-23.308119 
04/01/2017 12:00,3,1,1,-23.112263 
04/01/2017 13:00,3,1,1,-22.889285 
04/01/2017 14:00,3,1,1,-22.655124 
04/01/2017 15:00,3,1,1,-22.429642 
04/01/2017 16:00,3,1,1,-22.233715 
04/01/2017 17:00,3,1,1,-22.076506 
04/01/2017 18:00,3,1,1,-21.922182 
04/01/2017 19:00,3,1,1,-21.779010 
04/01/2017 20:00,3,1,1,-21.669687 
04/01/2017 21:00,3,1,1,-21.599734 
04/01/2017 22:00,3,1,1,-21.595974 
04/01/2017 23:00,3,1,1,-21.574728 
05/01/2017 00:00,3,1,1,-21.493612 
05/01/2017 01:00,3,1,1,-21.383806 
05/01/2017 02:00,3,1,1,-21.285544 
05/01/2017 03:00,3,1,1,-21.249824 
05/01/2017 04:00,3,1,1,-21.283588 
05/01/2017 05:00,3,1,1,-21.355492 
05/01/2017 06:00,3,1,1,-21.432386 
05/01/2017 07:00,3,1,1,-21.529777 
05/01/2017 08:00,3,1,1,-21.658919 
05/01/2017 09:00,3,1,1,-21.792489 
05/01/2017 10:00,3,1,1,-21.945039 
05/01/2017 11:00,3,1,1,-22.094398 
05/01/2017 12:00,3,1,1,-22.235149 
05/01/2017 13:00,3,1,1,-22.382323 
05/01/2017 14:00,3,1,1,-22.532822 
05/01/2017 15:00,3,1,1,-22.672191 
05/01/2017 16:00,3,1,1,-22.713155 
05/01/2017 17:00,3,1,1,-22.633950 
05/01/2017 18:00,3,1,1,-22.470829 
05/01/2017 19:00,3,1,1,-22.268747 
05/01/2017 20:00,3,1,1,-22.056968 
05/01/2017 21:00,3,1,1,-21.855672 
05/01/2017 22:00,3,1,1,-21.674987 
05/01/2017 23:00,3,1,1,-21.549471 
06/01/2017 00:00,3,1,1,-21.466384 
06/01/2017 01:00,3,1,1,-21.390693 
06/01/2017 02:00,3,1,1,-21.336890 
06/01/2017 03:00,3,1,1,-21.329095 
06/01/2017 04:00,3,1,1,-21.395213 
06/01/2017 05:00,3,1,1,-21.533535 
06/01/2017 06:00,3,1,1,-21.694643 
06/01/2017 07:00,3,1,1,-21.788429 
06/01/2017 08:00,3,1,1,-21.851833 
06/01/2017 09:00,3,1,1,-21.886569 
06/01/2017 10:00,3,1,1,-21.871309 
06/01/2017 11:00,3,1,1,-21.826042 
06/01/2017 12:00,3,1,1,-21.767366 
06/01/2017 13:00,3,1,1,-21.711919 
06/01/2017 14:00,3,1,1,-21.654106 
06/01/2017 15:00,3,1,1,-21.590589 
06/01/2017 16:00,3,1,1,-21.538485 
06/01/2017 17:00,3,1,1,-21.495278 
06/01/2017 18:00,3,1,1,-21.459172 
06/01/2017 19:00,3,1,1,-21.453018 
06/01/2017 20:00,3,1,1,-21.449666 
06/01/2017 21:00,3,1,1,-21.423961 
06/01/2017 22:00,3,1,1,-21.385111 
06/01/2017 23:00,3,1,1,-21.341813 
07/01/2017 00:00,3,1,1,-21.365244 
