Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,100.000000 
01/01/2016 00:00,0,1,1,-2.000000 
01/01/2017 01:00,3,1,1,-23.498189 
01/01/2017 02:00,3,1,1,-23.521153 
01/01/2017 03:00,3,1,1,-23.544630 
01/01/2017 04:00,3,1,1,-23.566338 
01/01/2017 05:00,3,1,1,-23.584793 
01/01/2017 06:00,3,1,1,-23.599245 
01/01/2017 07:00,3,1,1,-23.611021 
01/01/2017 08:00,3,1,1,-23.621718 
01/01/2017 09:00,3,1,1,-23.629699 
01/01/2017 10:00,3,1,1,-23.630178 
01/01/2017 11:00,3,1,1,-23.620255 
01/01/2017 12:00,3,1,1,-23.600799 
01/01/2017 13:00,3,1,1,-23.576498 
01/01/2017 14:00,3,1,1,-23.554083 
01/01/2017 15:00,3,1,1,-23.540596 
01/01/2017 16:00,3,1,1,-23.538062 
01/01/2017 17:00,3,1,1,-23.547847 
01/01/2017 18:00,3,1,1,-23.569803 
01/01/2017 19:00,3,1,1,-23.599831 
01/01/2017 20:00,3,1,1,-23.633931 
01/01/2017 21:00,3,1,1,-23.669613 
01/01/2017 22:00,3,1,1,-23.705646 
01/01/2017 23:00,3,1,1,-23.741534 
02/01/2017 00:00,3,1,1,-23.777144 
02/01/2017 01:00,3,1,1,-23.812168 
02/01/2017 02:00,3,1,1,-23.846356 
02/01/2017 03:00,3,1,1,-23.879613 
02/01/2017 04:00,3,1,1,-23.911955 
02/01/2017 05:00,3,1,1,-23.943460 
02/01/2017 06:00,3,1,1,-23.974224 
02/01/2017 07:00,3,1,1,-24.003843 
02/01/2017 08:00,3,1,1,-24.031672 
02/01/2017 09:00,3,1,1,-24.054446 
02/01/2017 10:00,3,1,1,-24.066756 
02/01/2017 11:00,3,1,1,-24.066040 
02/01/2017 12:00,3,1,1,-24.053835 
02/01/2017 13:00,3,1,1,-24.034017 
02/01/2017 14:00,3,1,1,-24.012004 
02/01/2017 15:00,3,1,1,-23.993775 
02/01/2017 16:00,3,1,1,-23.981145 
02/01/2017 17:00,3,1,1,-23.975978 
02/01/2017 18:00,3,1,1,-23.978706 
02/01/2017 19:00,3,1,1,-23.985187 
02/01/2017 20:00,3,1,1,-23.991299 
02/01/2017 21:00,3,1,1,-23.994569 
02/01/2017 22:00,3,1,1,-23.993903 
02/01/2017 23:00,3,1,1,-23.989004 
03/01/2017 00:00,3,1,1,-23.979954 
03/01/2017 01:00,3,1,1,-23.968058 
03/01/2017 02:00,3,1,1,-23.954522 
03/01/2017 03:00,3,1,1,-23.940006 
03/01/2017 04:00,3,1,1,-23.924747 
03/01/2017 05:00,3,1,1,-23.908765 
03/01/2017 06:00,3,1,1,-23.891997 
03/01/2017 07:00,3,1,1,-23.871776 
03/01/2017 08:00,3,1,1,-23.845391 
03/01/2017 09:00,3,1,1,-23.808809 
03/01/2017 10:00,3,1,1,-23.756110 
03/01/2017 11:00,3,1,1,-23.682520 
03/01/2017 12:00,3,1,1,-23.588076 
03/01/2017 13:00,3,1,1,-23.482863 
03/01/2017 14:00,3,1,1,-23.379544 
03/01/2017 15:00,3,1,1,-23.288964 
03/01/2017 16:00,3,1,1,-23.216151 
03/01/2017 17:00,3,1,1,-23.164630 
03/01/2017 18:00,3,1,1,-23.136198 
03/01/2017 19:00,3,1,1,-23.125996 
03/01/2017 20:00,3,1,1,-23.127022 
03/01/2017 21:00,3,1,1,-23.133969 
03/01/2017 22:00,3,1,1,-23.143794 
03/01/2017 23:00,3,1,1,-23.155033 
04/01/2017 00:00,3,1,1,-23.167097 
04/01/2017 01:00,3,1,1,-23.178149 
04/01/2017 02:00,3,1,1,-23.186446 
04/01/2017 03:00,3,1,1,-23.191008 
04/01/2017 04:00,3,1,1,-23.191514 
04/01/2017 05:00,3,1,1,-23.188029 
04/01/2017 06:00,3,1,1,-23.180842 
04/01/2017 07:00,3,1,1,-23.167119 
04/01/2017 08:00,3,1,1,-23.143693 
04/01/2017 09:00,3,1,1,-23.106353 
04/01/2017 10:00,3,1,1,-23.047547 
04/01/2017 11:00,3,1,1,-22.963050 
04/01/2017 12:00,3,1,1,-22.854703 
04/01/2017 13:00,3,1,1,-22.732492 
04/01/2017 14:00,3,1,1,-22.607939 
04/01/2017 15:00,3,1,1,-22.490544 
04/01/2017 16:00,3,1,1,-22.384880 
04/01/2017 17:00,3,1,1,-22.292859 
04/01/2017 18:00,3,1,1,-22.215147 
04/01/2017 19:00,3,1,1,-22.151356 
04/01/2017 20:00,3,1,1,-22.100963 
04/01/2017 21:00,3,1,1,-22.063570 
04/01/2017 22:00,3,1,1,-22.038967 
04/01/2017 23:00,3,1,1,-22.027189 
05/01/2017 00:00,3,1,1,-22.027744 
05/01/2017 01:00,3,1,1,-22.037261 
05/01/2017 02:00,3,1,1,-22.050681 
05/01/2017 03:00,3,1,1,-22.063574 
05/01/2017 04:00,3,1,1,-22.073029 
05/01/2017 05:00,3,1,1,-22.077376 
05/01/2017 06:00,3,1,1,-22.075614 
05/01/2017 07:00,3,1,1,-22.072955 
05/01/2017 08:00,3,1,1,-22.074879 
05/01/2017 09:00,3,1,1,-22.081479 
05/01/2017 10:00,3,1,1,-22.087466 
05/01/2017 11:00,3,1,1,-22.087375 
05/01/2017 12:00,3,1,1,-22.078263 
05/01/2017 13:00,3,1,1,-22.060310 
05/01/2017 14:00,3,1,1,-22.036031 
05/01/2017 15:00,3,1,1,-22.009197 
05/01/2017 16:00,3,1,1,-21.981477 
05/01/2017 17:00,3,1,1,-21.953321 
05/01/2017 18:00,3,1,1,-21.925079 
05/01/2017 19:00,3,1,1,-21.899591 
05/01/2017 20:00,3,1,1,-21.880424 
05/01/2017 21:00,3,1,1,-21.870546 
05/01/2017 22:00,3,1,1,-21.872041 
05/01/2017 23:00,3,1,1,-21.882865 
06/01/2017 00:00,3,1,1,-21.900156 
06/01/2017 01:00,3,1,1,-21.921052 
06/01/2017 02:00,3,1,1,-21.943491 
06/01/2017 03:00,3,1,1,-21.966337 
06/01/2017 04:00,3,1,1,-21.989108 
06/01/2017 05:00,3,1,1,-22.011688 
06/01/2017 06:00,3,1,1,-22.033196 
06/01/2017 07:00,3,1,1,-22.054527 
06/01/2017 08:00,3,1,1,-22.076526 
06/01/2017 09:00,3,1,1,-22.096999 
06/01/2017 10:00,3,1,1,-22.111322 
06/01/2017 11:00,3,1,1,-22.116850 
06/01/2017 12:00,3,1,1,-22.114398 
06/01/2017 13:00,3,1,1,-22.106981 
06/01/2017 14:00,3,1,1,-22.099123 
06/01/2017 15:00,3,1,1,-22.096019 
06/01/2017 16:00,3,1,1,-22.098707 
06/01/2017 17:00,3,1,1,-22.108165 
06/01/2017 18:00,3,1,1,-22.124858 
06/01/2017 19:00,3,1,1,-22.146390 
06/01/2017 20:00,3,1,1,-22.169807 
06/01/2017 21:00,3,1,1,-22.192840 
06/01/2017 22:00,3,1,1,-22.214067 
06/01/2017 23:00,3,1,1,-22.232736 
07/01/2017 00:00,3,1,1,-22.248524 
07/01/2017 01:00,3,1,1,-22.261945 
07/01/2017 02:00,3,1,1,-22.273789 
07/01/2017 03:00,3,1,1,-22.284701 
07/01/2017 04:00,3,1,1,-22.295029 
07/01/2017 05:00,3,1,1,-22.304820 
07/01/2017 06:00,3,1,1,-22.313951 
07/01/2017 07:00,3,1,1,-22.323153 
07/01/2017 08:00,3,1,1,-22.333168 
07/01/2017 09:00,3,1,1,-22.342507 
07/01/2017 10:00,3,1,1,-22.347495 
07/01/2017 11:00,3,1,1,-22.345771 
07/01/2017 12:00,3,1,1,-22.337954 
07/01/2017 13:00,3,1,1,-22.327833 
07/01/2017 14:00,3,1,1,-22.320481 
07/01/2017 15:00,3,1,1,-22.320902 
07/01/2017 16:00,3,1,1,-22.330411 
07/01/2017 17:00,3,1,1,-22.351028 
07/01/2017 18:00,3,1,1,-22.384596 
07/01/2017 19:00,3,1,1,-22.428330 
07/01/2017 20:00,3,1,1,-22.478003 
07/01/2017 21:00,3,1,1,-22.530074 
07/01/2017 22:00,3,1,1,-22.582188 
07/01/2017 23:00,3,1,1,-22.632990 
08/01/2017 00:00,3,1,1,-22.681815 
08/01/2017 01:00,3,1,1,-22.730384 
08/01/2017 02:00,3,1,1,-22.781140 
08/01/2017 03:00,3,1,1,-22.835890 
08/01/2017 04:00,3,1,1,-22.895321 
08/01/2017 05:00,3,1,1,-22.959240 
08/01/2017 06:00,3,1,1,-23.027013 
