Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,100.000000 
01/01/2016 00:00,0,1,1,-2.000000 
01/01/2017 01:00,3,1,1,-17.662813 
01/01/2017 02:00,3,1,1,-17.656221 
01/01/2017 03:00,3,1,1,-17.655572 
01/01/2017 04:00,3,1,1,-17.660624 
01/01/2017 05:00,3,1,1,-17.670348 
01/01/2017 06:00,3,1,1,-17.683447 
01/01/2017 07:00,3,1,1,-17.698605 
01/01/2017 08:00,3,1,1,-17.715020 
01/01/2017 09:00,3,1,1,-17.731777 
01/01/2017 10:00,3,1,1,-17.747313 
01/01/2017 11:00,3,1,1,-17.759958 
01/01/2017 12:00,3,1,1,-17.768594 
01/01/2017 13:00,3,1,1,-17.772991 
01/01/2017 14:00,3,1,1,-17.773927 
01/01/2017 15:00,3,1,1,-17.773050 
01/01/2017 16:00,3,1,1,-17.772054 
01/01/2017 17:00,3,1,1,-17.772316 
01/01/2017 18:00,3,1,1,-17.774985 
01/01/2017 19:00,3,1,1,-17.780794 
01/01/2017 20:00,3,1,1,-17.790092 
01/01/2017 21:00,3,1,1,-17.802897 
01/01/2017 22:00,3,1,1,-17.819735 
01/01/2017 23:00,3,1,1,-17.841531 
02/01/2017 00:00,3,1,1,-17.868971 
02/01/2017 01:00,3,1,1,-17.901941 
02/01/2017 02:00,3,1,1,-17.939525 
02/01/2017 03:00,3,1,1,-17.980395 
02/01/2017 04:00,3,1,1,-18.023234 
02/01/2017 05:00,3,1,1,-18.066946 
02/01/2017 06:00,3,1,1,-18.110686 
02/01/2017 07:00,3,1,1,-18.153823 
02/01/2017 08:00,3,1,1,-18.195918 
02/01/2017 09:00,3,1,1,-18.236441 
02/01/2017 10:00,3,1,1,-18.274357 
02/01/2017 11:00,3,1,1,-18.308406 
02/01/2017 12:00,3,1,1,-18.337670 
02/01/2017 13:00,3,1,1,-18.361987 
02/01/2017 14:00,3,1,1,-18.382072 
02/01/2017 15:00,3,1,1,-18.399413 
02/01/2017 16:00,3,1,1,-18.415316 
02/01/2017 17:00,3,1,1,-18.430572 
02/01/2017 18:00,3,1,1,-18.444967 
02/01/2017 19:00,3,1,1,-18.457554 
02/01/2017 20:00,3,1,1,-18.467474 
02/01/2017 21:00,3,1,1,-18.474432 
02/01/2017 22:00,3,1,1,-18.478789 
02/01/2017 23:00,3,1,1,-18.481309 
03/01/2017 00:00,3,1,1,-18.482849 
03/01/2017 01:00,3,1,1,-18.483847 
03/01/2017 02:00,3,1,1,-18.484379 
03/01/2017 03:00,3,1,1,-18.484249 
