Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,Tair[C],snow_depth[mm],snow_water_equivalent[mm],SWin[W/m2],Psnow_over_canopy[mm],Prain_over_canopy[mm]
01/01/2017 01:00,3,1,1,-29.657290,37.613918,5.710933,0.000000,0.001730,0.000000
01/01/2017 02:00,3,1,1,-29.842670,37.503548,5.698011,0.000000,0.001430,0.000000
01/01/2017 03:00,3,1,1,-29.467610,37.395389,5.685465,0.000000,0.002005,0.000000
01/01/2017 04:00,3,1,1,-29.132550,37.286562,5.672828,0.000000,0.002105,0.000000
01/01/2017 05:00,3,1,1,-28.733630,37.175494,5.659846,0.000000,0.002040,0.000000
01/01/2017 06:00,3,1,1,-28.566270,37.059238,5.646185,0.000000,0.002210,0.000000
01/01/2017 07:00,3,1,1,-28.335460,36.948465,5.633674,0.000000,0.004185,0.000000
01/01/2017 08:00,3,1,1,-27.828060,36.829564,5.620366,0.545285,0.005290,0.000000
01/01/2017 09:00,3,1,1,-27.778380,36.716961,5.607988,7.779028,0.006415,0.000000
01/01/2017 10:00,3,1,1,-27.344740,36.607151,5.595950,21.125947,0.007345,0.000000
01/01/2017 11:00,3,1,1,-27.242310,36.487107,5.582382,31.463109,0.006490,0.000000
01/01/2017 12:00,3,1,1,-27.235460,36.352785,5.566548,37.087687,0.004645,0.000000
01/01/2017 13:00,3,1,1,-27.676610,36.227309,5.551971,37.399827,0.005540,0.000000
01/01/2017 14:00,3,1,1,-27.248720,36.114040,5.538982,32.304749,0.006475,0.000000
01/01/2017 15:00,3,1,1,-27.689580,35.997035,5.524893,22.431143,0.003775,0.000000
01/01/2017 16:00,3,1,1,-27.985520,35.885204,5.511175,9.198903,0.001610,0.000000
01/01/2017 17:00,3,1,1,-28.519650,35.882660,5.498901,0.770716,0.001145,0.000000
01/01/2017 18:00,3,1,1,-28.307530,35.781881,5.485296,0.000000,0.001110,0.000000
01/01/2017 19:00,3,1,1,-28.312650,35.678779,5.471418,0.000000,0.000305,0.000000
01/01/2017 20:00,3,1,1,-27.318530,35.577859,5.457859,0.000000,0.000290,0.000000
01/01/2017 21:00,3,1,1,-27.326390,35.475538,5.444116,0.000000,0.000000,0.000000
01/01/2017 22:00,3,1,1,-29.530960,35.373681,5.430396,0.000000,0.000000,0.000000
01/01/2017 23:00,3,1,1,-29.615860,35.273383,5.416885,0.000000,0.000000,0.000000
02/01/2017 00:00,3,1,1,-29.498490,35.173897,5.403474,0.000000,0.000000,0.000000
02/01/2017 01:00,3,1,1,-29.483400,35.076335,5.390336,0.000000,0.000000,0.000000
02/01/2017 02:00,3,1,1,-29.083440,34.982180,5.377702,0.000000,0.000000,0.000000
02/01/2017 03:00,3,1,1,-29.412920,34.892250,5.365692,0.000000,0.000000,0.000000
02/01/2017 04:00,3,1,1,-29.124040,34.802748,5.353730,0.000000,0.000000,0.000000
