Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,Tair[C],snow_depth[mm],snow_water_equivalent[mm],SWin[W/m2],Psnow_over_canopy[mm],Prain_over_canopy[mm]
01/01/2017 01:00,3,1,1,-28.075860,97.502942,16.175421,0.000000,0.008255,0.000000
01/01/2017 02:00,3,1,1,-27.997990,97.579768,16.183065,0.000000,0.007970,0.000000
01/01/2017 03:00,3,1,1,-27.920120,97.651814,16.190424,0.000000,0.007685,0.000000
01/01/2017 04:00,3,1,1,-27.842250,97.718660,16.197475,0.000000,0.007400,0.000000
01/01/2017 05:00,3,1,1,-27.764370,97.780017,16.204205,0.000000,0.007115,0.000000
01/01/2017 06:00,3,1,1,-27.686500,97.835675,16.210599,0.000000,0.006830,0.000000
01/01/2017 07:00,3,1,1,-27.618520,97.894380,16.217146,0.000000,0.006955,0.000000
01/01/2017 08:00,3,1,1,-27.550550,97.956360,16.223865,0.545029,0.007080,0.000000
01/01/2017 09:00,3,1,1,-27.482570,98.021241,16.230748,7.775533,0.007205,0.000000
01/01/2017 10:00,3,1,1,-27.414600,98.088295,16.237765,21.128017,0.007335,0.000000
01/01/2017 11:00,3,1,1,-27.346620,98.156955,16.244878,31.467520,0.007460,0.000000
01/01/2017 12:00,3,1,1,-27.278650,98.227246,16.252082,37.089798,0.007585,0.000000
01/01/2017 13:00,3,1,1,-27.343450,98.280061,16.258051,37.383454,0.006355,0.000000
01/01/2017 14:00,3,1,1,-27.408250,98.315959,16.262837,32.311654,0.005125,0.000000
01/01/2017 15:00,3,1,1,-27.473060,98.335478,16.266487,22.424379,0.003900,0.000000
01/01/2017 16:00,3,1,1,-27.537860,98.338068,16.269002,17.124475,0.002670,0.000000
01/01/2017 17:00,3,1,1,-27.602670,98.323253,16.270355,7.566625,0.001440,0.000000
01/01/2017 18:00,3,1,1,-27.667470,98.290514,16.270531,0.000000,0.000215,0.000000
01/01/2017 19:00,3,1,1,-27.547470,98.258158,16.270704,0.000000,0.000180,0.000000
01/01/2017 20:00,3,1,1,-27.427470,98.225773,16.270848,0.000000,0.000145,0.000000
01/01/2017 21:00,3,1,1,-27.307460,98.193124,16.270953,0.000000,0.000105,0.000000
01/01/2017 22:00,3,1,1,-27.187460,98.160223,16.271023,0.000000,0.000070,0.000000
