Date12[DDMMYYYYhhmm],Simulation_Period,Run,IDpoint,Tair[C],snow_depth[mm],snow_water_equivalent[mm],SWin[W/m2],Psnow_over_canopy[mm],Prain_over_canopy[mm]
01/01/2017 01:00,3,1,1,-22.601790,190.348646,39.777152,0.000000,0.006315,0.000000
01/01/2017 02:00,3,1,1,-22.652400,190.426889,39.783152,0.000000,0.006000,0.000000
01/01/2017 03:00,3,1,1,-22.562820,190.490751,39.788377,0.000000,0.005225,0.000000
01/01/2017 04:00,3,1,1,-22.485520,190.531234,39.792372,0.000000,0.003995,0.000000
01/01/2017 05:00,3,1,1,-22.274990,190.565858,39.796052,0.000000,0.003680,0.000000
01/01/2017 06:00,3,1,1,-22.022830,190.598889,39.799642,0.000000,0.003590,0.000000
01/01/2017 07:00,3,1,1,-21.879760,190.634227,39.803352,0.000000,0.003710,0.000000
01/01/2017 08:00,3,1,1,-21.742520,190.672312,39.807192,0.539609,0.003840,0.000000
01/01/2017 09:00,3,1,1,-21.617650,190.711422,39.811102,7.705729,0.003910,0.000000
01/01/2017 10:00,3,1,1,-21.728910,190.754837,39.815332,20.958683,0.004230,0.000000
01/01/2017 11:00,3,1,1,-21.556520,190.802552,39.819962,31.220921,0.004630,0.000000
01/01/2017 12:00,3,1,1,-21.354230,190.849326,39.824582,36.797739,0.004620,0.000000
01/01/2017 13:00,3,1,1,-21.346690,190.890388,39.828852,37.085811,0.004270,0.000000
01/01/2017 14:00,3,1,1,-21.255710,190.926331,39.832787,32.043333,0.003935,0.000000
01/01/2017 15:00,3,1,1,-21.155320,190.966501,39.836922,22.225764,0.004135,0.000000
01/01/2017 16:00,3,1,1,-21.150070,191.008596,39.841142,14.272317,0.004220,0.000000
01/01/2017 17:00,3,1,1,-21.225310,191.039864,39.844782,7.489517,0.003640,0.000000
01/01/2017 18:00,3,1,1,-21.214970,191.058427,39.847732,0.000000,0.002950,0.000000
01/01/2017 19:00,3,1,1,-20.966190,191.072151,39.850402,0.000000,0.002670,0.000000
01/01/2017 20:00,3,1,1,-20.730060,191.078743,39.852672,0.000000,0.002270,0.000000
01/01/2017 21:00,3,1,1,-20.712590,191.069033,39.854072,0.000000,0.001400,0.000000
01/01/2017 22:00,3,1,1,-20.507510,191.045167,39.854677,0.000000,0.000605,0.000000
01/01/2017 23:00,3,1,1,-20.389330,191.016716,39.854977,0.000000,0.000300,0.000000
02/01/2017 00:00,3,1,1,-20.451800,190.985828,39.855092,0.000000,0.000115,0.000000
02/01/2017 01:00,3,1,1,-20.530850,190.953900,39.855112,0.000000,0.000020,0.000000
02/01/2017 02:00,3,1,1,-20.492520,190.922318,39.855122,0.000000,0.000010,0.000000
02/01/2017 03:00,3,1,1,-20.331680,190.891027,39.855127,0.000000,0.000005,0.000000
02/01/2017 04:00,3,1,1,-20.383500,190.859951,39.855127,0.000000,0.000000,0.000000
02/01/2017 05:00,3,1,1,-20.423220,190.829122,39.855127,0.000000,0.000000,0.000000
02/01/2017 06:00,3,1,1,-20.480680,190.798473,39.855127,0.000000,0.000000,0.000000
02/01/2017 07:00,3,1,1,-20.596080,190.767954,39.855127,0.000000,0.000000,0.000000
02/01/2017 08:00,3,1,1,-20.766650,190.737542,39.855127,0.538028,0.000000,0.000000
02/01/2017 09:00,3,1,1,-20.904080,190.707028,39.855127,7.713283,0.000000,0.000000
02/01/2017 10:00,3,1,1,-20.626710,190.676017,39.855127,20.979870,0.000000,0.000000
02/01/2017 11:00,3,1,1,-20.474690,190.644380,39.855126,31.271719,0.000000,0.000000
02/01/2017 12:00,3,1,1,-20.381160,190.612155,39.855123,36.890508,0.000000,0.000000
02/01/2017 13:00,3,1,1,-20.368190,190.579360,39.855090,37.218921,0.000000,0.000000
02/01/2017 14:00,3,1,1,-20.353780,190.546147,39.855000,32.219562,0.000005,0.000000
02/01/2017 15:00,3,1,1,-20.168930,190.513033,39.854878,22.431534,0.000010,0.000000
02/01/2017 16:00,3,1,1,-20.122480,190.482356,39.854930,21.191323,0.000160,0.000000
02/01/2017 17:00,3,1,1,-20.060810,190.458329,39.855436,7.875109,0.000595,0.000000
02/01/2017 18:00,3,1,1,-19.894910,190.443779,39.856604,0.000000,0.001240,0.000000
02/01/2017 19:00,3,1,1,-19.669800,190.439696,39.858472,0.000000,0.001910,0.000000
02/01/2017 20:00,3,1,1,-19.416990,190.440536,39.860636,0.000000,0.002180,0.000000
02/01/2017 21:00,3,1,1,-19.238460,190.442799,39.862872,0.000000,0.002245,0.000000
02/01/2017 22:00,3,1,1,-19.214160,190.443681,39.865020,0.000000,0.002155,0.000000
02/01/2017 23:00,3,1,1,-19.173020,190.444535,39.867216,0.000000,0.002220,0.000000
03/01/2017 00:00,3,1,1,-19.211750,190.439612,39.869090,0.000000,0.001975,0.000000
03/01/2017 01:00,3,1,1,-19.267440,190.429310,39.870618,0.000000,0.001795,0.000000
03/01/2017 02:00,3,1,1,-19.303050,190.420394,39.872228,0.000000,0.002020,0.000000
03/01/2017 03:00,3,1,1,-19.288360,190.415457,39.874118,0.000000,0.002340,0.000000
03/01/2017 04:00,3,1,1,-19.082990,190.414693,39.876310,0.000000,0.002655,0.000000
03/01/2017 05:00,3,1,1,-18.793370,190.424191,39.879233,0.000000,0.003420,0.000000
03/01/2017 06:00,3,1,1,-18.432430,190.461502,39.884125,0.000000,0.005430,0.000000
03/01/2017 07:00,3,1,1,-18.003220,190.513747,39.890094,0.000000,0.006520,0.000000
03/01/2017 08:00,3,1,1,-17.549240,190.572755,39.896595,0.535720,0.007110,0.000000
03/01/2017 09:00,3,1,1,-17.125310,190.619411,39.902357,7.694403,0.006600,0.000000
03/01/2017 10:00,3,1,1,-16.730530,190.637886,39.906200,20.929863,0.005450,0.000000
03/01/2017 11:00,3,1,1,-16.352140,190.637427,39.908541,31.204718,0.005005,0.000000
03/01/2017 12:00,3,1,1,-16.120700,190.620696,39.909410,36.832069,0.004665,0.000000
03/01/2017 13:00,3,1,1,-16.000730,190.591688,39.909058,37.193787,0.004365,0.000000
03/01/2017 14:00,3,1,1,-15.910430,190.556798,39.908078,32.250536,0.004185,0.000000
03/01/2017 15:00,3,1,1,-15.796110,190.523691,39.907274,22.539220,0.004125,0.000000
03/01/2017 16:00,3,1,1,-15.622160,190.502539,39.907662,11.602490,0.004285,0.000000
03/01/2017 17:00,3,1,1,-15.497590,190.494339,39.909277,8.220965,0.004490,0.000000
03/01/2017 18:00,3,1,1,-15.413060,190.496604,39.911796,0.000000,0.004605,0.000000
03/01/2017 19:00,3,1,1,-15.383790,190.504459,39.914821,0.000000,0.004425,0.000000
03/01/2017 20:00,3,1,1,-15.322110,190.512538,39.917919,0.000000,0.003905,0.000000
03/01/2017 21:00,3,1,1,-15.240720,190.530551,39.921703,0.000000,0.004140,0.000000
03/01/2017 22:00,3,1,1,-15.286470,190.572076,39.926872,0.000000,0.005240,0.000000
03/01/2017 23:00,3,1,1,-15.443570,190.630885,39.932841,0.000000,0.005975,0.000000
04/01/2017 00:00,3,1,1,-15.684450,190.699111,39.939046,0.000000,0.006205,0.000000
04/01/2017 01:00,3,1,1,-15.963900,190.771535,39.945206,0.000000,0.006160,0.000000
04/01/2017 02:00,3,1,1,-16.205720,190.846916,39.951336,0.000000,0.006130,0.000000
04/01/2017 03:00,3,1,1,-16.389130,190.899622,39.956171,0.000000,0.004835,0.000000
04/01/2017 04:00,3,1,1,-16.538940,190.930060,39.959876,0.000000,0.003705,0.000000
04/01/2017 05:00,3,1,1,-16.666140,190.950185,39.963071,0.000000,0.003195,0.000000
04/01/2017 06:00,3,1,1,-16.747830,190.961508,39.965846,0.000000,0.002775,0.000000
04/01/2017 07:00,3,1,1,-16.814000,190.965537,39.968251,0.000000,0.002405,0.000000
04/01/2017 08:00,3,1,1,-16.940640,190.963988,39.970381,0.537294,0.002130,0.000000
04/01/2017 09:00,3,1,1,-17.118870,190.949545,39.971886,7.732047,0.001505,0.000000
04/01/2017 10:00,3,1,1,-17.053470,190.920912,39.972666,21.020810,0.000780,0.000000
04/01/2017 11:00,3,1,1,-17.126130,190.886280,39.973136,31.363489,0.000470,0.000000
04/01/2017 12:00,3,1,1,-17.384170,190.849861,39.973496,37.064796,0.000360,0.000000
04/01/2017 13:00,3,1,1,-17.764480,190.812214,39.973761,37.492722,0.000265,0.000000
04/01/2017 14:00,3,1,1,-18.195940,190.774508,39.973966,32.594586,0.000205,0.000000
04/01/2017 15:00,3,1,1,-18.618180,190.737838,39.974161,22.892040,0.000195,0.000000
