sitename,model,rmse,mae,r2
KDI-E-Org2,era5-All-Time,10.164318,7.9026327,-0.7091339143168092
KDI-E-Org2,merr-All-Time,6.6925707,4.9608865,0.2590215590934881
KDI-E-Org2,jra5-All-Time,12.151639,9.578346,-1.4428081126749976
KDI-E-Org2,era5-Winter,16.110498,15.344853,-13.163051303380765
KDI-E-Org2,merr-Winter,11.027944,10.419661,-5.6363294174655465
KDI-E-Org2,jra5-Winter,19.23048,18.578863,-19.17990025648872
KDI-E-Org2,era5-Spring,6.1213818,4.575245,-0.9979832867093845
KDI-E-Org2,merr-Spring,3.7732856,2.8509345,0.24084186076200376
KDI-E-Org2,jra5-Spring,6.4083543,5.260238,-1.1897061961984545
KDI-E-Org2,era5-Summer,5.569327,5.1359963,-2.750584197394442
KDI-E-Org2,merr-Summer,1.77209,1.4560208,0.6202786639571647
KDI-E-Org2,jra5-Summer,6.6756654,6.242548,-4.3886832113367715
KDI-E-Org2,era5-Fall,9.7861185,6.9791627,-15.019494523048262
KDI-E-Org2,merr-Fall,6.7865744,5.599142,-6.704227710183218
KDI-E-Org2,jra5-Fall,12.263273,8.74743,-24.15594702229605
KDI-E-ShrubM,era5-All-Time,13.420524,10.040492,-5.1337913781175635
KDI-E-ShrubM,merr-All-Time,10.129468,7.885156,-2.4943257155186687
KDI-E-ShrubM,jra5-All-Time,15.16721,11.496794,-6.8343229044083875
KDI-E-ShrubM,era5-Winter,22.393187,21.653444,-169.53683407820932
KDI-E-ShrubM,merr-Winter,16.95988,16.732792,-96.8209961862149
KDI-E-ShrubM,jra5-Winter,25.477907,24.88344,-219.75671218240993
KDI-E-ShrubM,era5-Spring,11.435565,8.981806,-37.871881398523065
KDI-E-ShrubM,merr-Spring,8.996584,7.483568,-23.058890056946616
KDI-E-ShrubM,jra5-Spring,11.182141,8.724425,-36.16809137877931
KDI-E-ShrubM,era5-Summer,4.275468,3.6460345,-0.5639021707654983
KDI-E-ShrubM,merr-Summer,2.8227384,2.3199477,0.31831525910337855
KDI-E-ShrubM,jra5-Summer,5.33511,4.750132,-1.435168824013068
KDI-E-ShrubM,era5-Fall,9.627453,6.760985,-8.209287648822938
KDI-E-ShrubM,merr-Fall,6.861736,5.754366,-3.678118445430796
KDI-E-ShrubM,jra5-Fall,12.104725,8.585502,-13.55837791991698
KDI-E-ShrubT,era5-All-Time,14.0927105,10.653786,-6.723333847963858
KDI-E-ShrubT,merr-All-Time,10.761814,8.45697,-3.5038792660966394
KDI-E-ShrubT,jra5-All-Time,15.795886,12.072899,-8.702947555436241
KDI-E-ShrubT,era5-Winter,22.789663,22.019245,-72.24203313624982
KDI-E-ShrubT,merr-Winter,17.384445,17.089348,-41.61928564587587
KDI-E-ShrubT,jra5-Winter,25.888441,25.255938,-93.51404428725584
KDI-E-ShrubT,era5-Spring,13.057832,10.44884,-96.41783809647922
KDI-E-ShrubT,merr-Spring,10.5612,8.897231,-62.726918508920555
KDI-E-ShrubT,jra5-Spring,12.710746,10.027518,-91.3078152188557
KDI-E-ShrubT,era5-Summer,4.507861,3.7324767,-0.4655987901513414
KDI-E-ShrubT,merr-Summer,2.8290064,2.4086137,0.4227793000542003
KDI-E-ShrubT,jra5-Summer,5.540172,4.8505874,-1.2137091415713397
KDI-E-ShrubT,era5-Fall,10.356414,7.290105,-17.07269373451349
KDI-E-ShrubT,merr-Fall,7.4318643,6.1802683,-8.306786081754291
KDI-E-ShrubT,jra5-Fall,12.831709,9.102187,-26.744260968622513
KDI-E-Tbot,era5-All-Time,11.788479,8.646063,-1.753707998285595
KDI-E-Tbot,merr-All-Time,8.829138,7.311174,-0.5446816513966597
KDI-E-Tbot,jra5-All-Time,13.5479965,10.071457,-2.6370772555156954
KDI-E-Tbot,era5-Winter,19.645723,18.941975,-85.05447930788037
KDI-E-Tbot,merr-Winter,14.289915,14.022737,-44.52990260093221
KDI-E-Tbot,jra5-Winter,22.725988,22.170893,-114.1550458362874
KDI-E-Tbot,era5-Spring,9.725226,7.5185866,-9.97878498570366
KDI-E-Tbot,merr-Spring,7.3323483,6.0575137,-5.240810245470849
KDI-E-Tbot,jra5-Spring,9.488577,7.313588,-9.4509803876806
KDI-E-Tbot,era5-Summer,2.8205016,2.2102697,0.4311242124959366
KDI-E-Tbot,merr-Summer,4.282613,3.768601,-0.3115425158321403
KDI-E-Tbot,jra5-Summer,3.7453935,3.143134,-0.0031355711299236866
KDI-E-Tbot,era5-Fall,9.181699,6.7178955,-5.014773152046529
KDI-E-Tbot,merr-Fall,6.5852966,5.854228,-2.0940254416006603
KDI-E-Tbot,jra5-Fall,11.664533,8.549598,-8.707509978439296
KDI-E-Trees,era5-All-Time,12.447822,9.156377,-1.8849699367162072
KDI-E-Trees,merr-All-Time,9.746067,8.250827,-0.7685335496635668
KDI-E-Trees,jra5-All-Time,14.082452,10.376383,-2.6924202892792635
KDI-E-Trees,era5-Winter,20.206888,19.447533,-45.448429972290356
KDI-E-Trees,merr-Winter,14.860717,14.520643,-24.12185712633596
KDI-E-Trees,jra5-Winter,23.30436,22.68298,-60.77981037992672
KDI-E-Trees,era5-Spring,12.020468,9.59735,-28.523505262591197
KDI-E-Trees,merr-Spring,9.530869,8.068204,-17.56052297280439
KDI-E-Trees,jra5-Spring,11.639643,9.12957,-26.682449843470565
KDI-E-Trees,era5-Summer,2.4348714,1.93593,0.7073234363477521
KDI-E-Trees,merr-Summer,5.863937,5.1509333,-0.6975182319496025
KDI-E-Trees,jra5-Summer,3.0057967,2.338069,0.5539792659564579
KDI-E-Trees,era5-Fall,8.946666,6.537957,-3.745869762058578
KDI-E-Trees,merr-Fall,6.4643474,5.6663756,-1.4776656046980947
KDI-E-Trees,jra5-Fall,11.423862,8.375453,-6.737831741188382
KDI-E-Tslp,era5-All-Time,10.724632,7.675288,-0.7520333500086565
KDI-E-Tslp,merr-All-Time,7.968739,6.621038,0.03270984795069343
KDI-E-Tslp,jra5-All-Time,12.541198,9.144139,-1.3958279743700395
KDI-E-Tslp,era5-Winter,18.202606,17.51843,-56.25088039607145
KDI-E-Tslp,merr-Winter,12.914544,12.597736,-27.818622145666122
KDI-E-Tslp,jra5-Winter,21.298075,20.748266,-77.37828879750052
KDI-E-Tslp,era5-Spring,7.9656825,5.9215193,-3.8542860058359487
KDI-E-Tslp,merr-Spring,5.6600842,4.481857,-1.4508979182636152
KDI-E-Tslp,jra5-Spring,7.9068103,6.101171,-3.7827975898575366
KDI-E-Tslp,era5-Summer,2.297512,1.7590729,0.6071261631814582
KDI-E-Tslp,merr-Summer,4.881317,4.35299,-0.7734199894464135
KDI-E-Tslp,jra5-Summer,3.1034634,2.514151,0.2831459367803164
KDI-E-Tslp,era5-Fall,8.695981,6.3176765,-3.714065140503787
KDI-E-Tslp,merr-Fall,6.1111903,5.3984942,-1.3281450298005777
KDI-E-Tslp,jra5-Fall,11.166955,8.143473,-6.773703763332732
KDI-E-Ttop,era5-All-Time,9.737981,7.055114,-0.24979414338487005
KDI-E-Ttop,merr-All-Time,6.7788215,5.390735,0.3943675970406524
KDI-E-Ttop,jra5-All-Time,11.655403,8.678015,-0.7904215824543761
KDI-E-Ttop,era5-Winter,16.397705,15.601133,-16.997340170744074
KDI-E-Ttop,merr-Winter,11.200605,10.677848,-7.397020206226506
KDI-E-Ttop,jra5-Winter,19.471355,18.832174,-24.37666582563618
KDI-E-Ttop,era5-Spring,6.032957,4.398837,-0.5570035086333853
KDI-E-Ttop,merr-Spring,3.768702,2.906952,0.3924069817110901
KDI-E-Ttop,jra5-Spring,6.207665,4.886734,-0.6484879161611159
KDI-E-Ttop,era5-Summer,3.2431128,2.6196563,0.014784400796786556
KDI-E-Ttop,merr-Summer,3.5976796,3.1015787,-0.2124174204985365
KDI-E-Ttop,jra5-Summer,4.2273173,3.6645982,-0.6739287396324694
KDI-E-Ttop,era5-Fall,8.678635,6.2122335,-4.1950386669381645
KDI-E-Ttop,merr-Fall,6.00188,5.2115645,-1.4846230476519948
KDI-E-Ttop,jra5-Fall,11.159838,8.032371,-7.590169307916792
KDI-E-Wet,era5-All-Time,13.243938,9.645262,-3.6953981827574616
KDI-E-Wet,merr-All-Time,10.326914,8.260119,-1.8548231798646015
KDI-E-Wet,jra5-All-Time,15.39027,11.4344845,-5.340603257822823
KDI-E-Wet,era5-Winter,21.873373,21.23112,-84.36668033860998
KDI-E-Wet,merr-Winter,17.062902,16.789879,-50.94726435718814
KDI-E-Wet,jra5-Winter,25.295347,24.784605,-113.16635541848332
KDI-E-Wet,era5-Spring,8.171217,6.211869,-9.633555033608747
KDI-E-Wet,merr-Spring,7.065163,5.665319,-6.9496748057072
KDI-E-Wet,jra5-Spring,8.433614,6.619932,-10.327458416211286
KDI-E-Wet,era5-Summer,2.9291158,2.4203696,-0.024972090734166175
KDI-E-Wet,merr-Summer,3.67352,3.2799928,-0.6121438175518188
KDI-E-Wet,jra5-Summer,3.8556962,3.3949137,-0.7760066221506048
KDI-E-Wet,era5-Fall,10.553663,7.4414983,-14.198617800564286
KDI-E-Wet,merr-Fall,7.3541207,6.3910475,-6.380046817041581
KDI-E-Wet,jra5-Fall,12.891368,9.227878,-21.67752297219057
KDI-R1,era5-All-Time,7.292115,5.9091096,0.6752485453721243
KDI-R1,merr-All-Time,6.828669,5.5790105,0.7152155953697599
KDI-R1,jra5-All-Time,8.755936,6.777509,0.5317808022431382
KDI-R1,era5-Winter,11.07582,10.358307,-7.37971290714656
KDI-R1,merr-Winter,6.293051,5.5064616,-1.7052029077134998
KDI-R1,jra5-Winter,14.129579,13.594215,-12.637531381192135
KDI-R1,era5-Spring,5.497651,4.34531,0.32228374743437893
KDI-R1,merr-Spring,3.9007578,3.116481,0.6588137368711244
KDI-R1,jra5-Spring,5.0653543,3.8555102,0.42467504120045363
KDI-R1,era5-Summer,5.132688,4.3672132,-0.01243846991724551
KDI-R1,merr-Summer,10.216498,9.384185,-3.0112807288697514
KDI-R1,jra5-Summer,4.2200036,3.5686753,0.3156086024754736
KDI-R1,era5-Fall,6.083551,4.7761927,0.21262810061686976
KDI-R1,merr-Fall,4.663168,3.9485896,0.5373764551685702
KDI-R1,jra5-Fall,8.432753,6.5061007,-0.5128796276546257
KDI-R2,era5-All-Time,5.2059355,4.1589613,0.883344971682069
KDI-R2,merr-All-Time,6.8035064,5.2518272,0.8007623067579591
KDI-R2,jra5-All-Time,6.2149167,4.9278965,0.833744300745395
KDI-R2,era5-Winter,6.565544,5.5085692,-0.4898457168823591
KDI-R2,merr-Winter,4.7104163,3.7794466,0.23313584993305048
KDI-R2,jra5-Winter,9.314687,8.449024,-1.998723517969113
KDI-R2,era5-Spring,3.983311,3.0796874,0.7754192499859492
KDI-R2,merr-Spring,3.7650294,2.9631727,0.7993584439855915
KDI-R2,jra5-Spring,3.5830922,2.8286088,0.8182810964788516
KDI-R2,era5-Summer,5.8774204,5.0402923,-0.31718166751595644
KDI-R2,merr-Summer,10.970131,10.114373,-3.588764613027867
KDI-R2,jra5-Summer,4.9263754,4.156697,0.07460496572271413
KDI-R2,era5-Fall,3.793246,2.9406939,0.8270930986503505
KDI-R2,merr-Fall,4.590221,3.6690633,0.7468036653791199
KDI-R2,jra5-Fall,5.7244225,4.407737,0.6062200169449303
KDI-R3,era5-All-Time,7.178801,5.844268,0.704129196826629
KDI-R3,merr-All-Time,6.9098215,5.5524807,0.7258855150657233
KDI-R3,jra5-All-Time,8.536991,6.7386723,0.5815843790936543
KDI-R3,era5-Winter,10.559912,9.766555,-6.134405673592118
KDI-R3,merr-Winter,5.858426,5.1155853,-1.1958322651805924
KDI-R3,jra5-Winter,13.576762,12.9990225,-10.793146068054517
KDI-R3,era5-Spring,5.714227,4.487444,0.2014710488228022
KDI-R3,merr-Spring,3.809086,3.0544071,0.6451725677216997
KDI-R3,jra5-Spring,5.265656,4.0011144,0.32192057776259964
KDI-R3,era5-Summer,5.7832,4.8367043,-0.025603580003335402
KDI-R3,merr-Summer,10.632685,9.713514,-2.4668015908970506
KDI-R3,jra5-Summer,4.9345393,4.129886,0.2533168087085982
KDI-R3,era5-Fall,5.5742106,4.436019,0.47696227612817665
KDI-R3,merr-Fall,4.765961,3.9273045,0.6176445431506377
KDI-R3,jra5-Fall,7.8398542,6.1715207,-0.034623358981612506
KDI-W-Org1,era5-All-Time,12.622303,9.38099,-2.581608327545447
KDI-W-Org1,merr-All-Time,9.24644,6.9130125,-0.9219849212903413
KDI-W-Org1,jra5-All-Time,14.547885,11.028146,-3.7577389258629967
KDI-W-Org1,era5-Winter,21.443567,20.647795,-35.96695430057252
KDI-W-Org1,merr-Winter,16.123909,15.703562,-19.900675769320596
KDI-W-Org1,jra5-Winter,24.553873,23.877213,-47.4684997672395
KDI-W-Org1,era5-Spring,8.116195,6.1497316,-7.311092964411303
KDI-W-Org1,merr-Spring,5.5062404,4.2733793,-2.825282214602964
KDI-W-Org1,jra5-Spring,8.35167,6.7388573,-7.800347718381396
KDI-W-Org1,era5-Summer,4.493936,3.9930723,-0.8433778094044972
KDI-W-Org1,merr-Summer,2.728715,2.2506878,0.32036320527472284
KDI-W-Org1,jra5-Summer,5.5917916,5.0920467,-1.854056101032211
KDI-W-Org1,era5-Fall,10.405611,7.3798003,-20.521863633419695
KDI-W-Org1,merr-Fall,7.334226,5.974176,-9.691861206875398
KDI-W-Org1,jra5-Fall,12.836672,9.12828,-31.752886168835822
KDI-W-Org2,era5-All-Time,9.606001,7.551579,-0.36780823566864407
KDI-W-Org2,merr-All-Time,6.07702,4.475077,0.4525792238806212
KDI-W-Org2,jra5-All-Time,11.615174,9.23421,-0.9998223239834068
KDI-W-Org2,era5-Winter,14.925161,14.126629,-8.792628978210907
KDI-W-Org2,merr-Winter,9.847818,9.176218,-3.263255503729445
KDI-W-Org2,jra5-Winter,18.028694,17.359407,-13.288603786172619
KDI-W-Org2,era5-Spring,5.005462,3.7823408,0.033287917288871705
KDI-W-Org2,merr-Spring,3.1163502,2.4811401,0.62528483725248
KDI-W-Org2,jra5-Spring,5.435592,4.534676,-0.13999383611127736
KDI-W-Org2,era5-Summer,6.0739765,5.6600165,-4.485641989157179
KDI-W-Org2,merr-Summer,1.5823272,1.266015,0.6277164341801862
KDI-W-Org2,jra5-Summer,7.1797633,6.772736,-6.664813354828472
KDI-W-Org2,era5-Fall,9.591064,6.930409,-12.873207541365419
KDI-W-Org2,merr-Fall,6.550857,5.3726044,-5.472015875019229
KDI-W-Org2,jra5-Fall,12.039442,8.645599,-20.860295904671936
KDI-W-ShrubM1,era5-All-Time,13.469188,9.73489,-3.7364766891514476
KDI-W-ShrubM1,merr-All-Time,10.344102,8.304598,-1.7935612314691993
KDI-W-ShrubM1,jra5-All-Time,15.248988,11.177574,-5.070921722482925
KDI-W-ShrubM1,era5-Winter,22.667036,21.953691,-131.44705689391256
KDI-W-ShrubM1,merr-Winter,17.227892,17.00566,-75.50980691080908
KDI-W-ShrubM1,jra5-Winter,25.768946,25.1851,-170.177285360642
KDI-W-ShrubM1,era5-Spring,10.482333,8.057878,-19.599087282544318
KDI-W-ShrubM1,merr-Spring,8.056603,6.534173,-11.168468368151014
KDI-W-ShrubM1,jra5-Spring,10.282356,7.9086595,-18.820626330365265
KDI-W-ShrubM1,era5-Summer,2.8069673,2.1534288,0.4448792213445534
KDI-W-ShrubM1,merr-Summer,4.197243,3.72714,-0.24119829251686875
KDI-W-ShrubM1,jra5-Summer,3.7457666,3.1282513,0.011459852371313861
KDI-W-ShrubM1,era5-Fall,10.398912,7.3519154,-12.69227348224701
KDI-W-ShrubM1,merr-Fall,7.490327,6.3192472,-6.103972510947528
KDI-W-ShrubM1,jra5-Fall,12.825222,9.126156,-19.827132545138298
KDI-W-ShrubM2,era5-All-Time,13.660832,10.041871,-4.434403052290282
KDI-W-ShrubM2,merr-All-Time,10.368513,8.1678915,-2.130620980195911
KDI-W-ShrubM2,jra5-All-Time,15.453473,11.566256,-5.954240578449403
KDI-W-ShrubM2,era5-Winter,22.865772,22.100512,-124.5026064349817
KDI-W-ShrubM2,merr-Winter,17.425701,17.149025,-71.88892286328851
KDI-W-ShrubM2,jra5-Winter,25.973576,25.332653,-160.93637904155372
KDI-W-ShrubM2,era5-Spring,10.975248,8.3843,-40.68341492930448
KDI-W-ShrubM2,merr-Spring,8.353457,6.730374,-23.147216612345694
KDI-W-ShrubM2,jra5-Spring,10.851432,8.496825,-39.74821979332753
KDI-W-ShrubM2,era5-Summer,4.0230517,3.1105504,0.011173960308824893
KDI-W-ShrubM2,merr-Summer,3.4618154,3.0317261,0.26782238695060656
KDI-W-ShrubM2,jra5-Summer,4.991883,4.161826,-0.5224304061144054
KDI-W-ShrubM2,era5-Fall,10.383215,7.394279,-12.334369606157773
KDI-W-ShrubM2,merr-Fall,7.5063686,6.3723397,-5.968969934312589
KDI-W-ShrubM2,jra5-Fall,12.829812,9.173554,-19.358666191181168
KDI-W-ShrubT,era5-All-Time,13.540304,9.87166,-3.0263407120784223
KDI-W-ShrubT,merr-All-Time,10.745917,8.871739,-1.535949999226775
KDI-W-ShrubT,jra5-All-Time,15.151817,11.110099,-4.041771507673957
KDI-W-ShrubT,era5-Winter,22.146158,21.25529,-39.36742566227898
KDI-W-ShrubT,merr-Winter,16.8817,16.30868,-22.456684206678474
KDI-W-ShrubT,jra5-Winter,25.21804,24.48614,-51.34279722932803
KDI-W-ShrubT,era5-Spring,13.03411,10.281178,-52.21504298510088
KDI-W-ShrubT,merr-Spring,10.382886,8.658973,-32.76819272998976
KDI-W-ShrubT,jra5-Spring,12.65504,9.893205,-49.164751353786606
KDI-W-ShrubT,era5-Summer,2.3101344,1.8493361,0.7258801718669212
KDI-W-ShrubT,merr-Summer,5.7129946,4.916689,-0.6764614702233638
KDI-W-ShrubT,jra5-Summer,2.9420526,2.2954113,0.555402631130591
KDI-W-ShrubT,era5-Fall,9.405052,7.005614,-5.426243674156173
KDI-W-ShrubT,merr-Fall,6.8092704,6.0682735,-2.368495323821011
KDI-W-ShrubT,jra5-Fall,11.837382,8.7852545,-9.179961748499652
KDI-W-Snowdrift,era5-All-Time,14.290741,10.643506,-7.167225385238698
KDI-W-Snowdrift,merr-All-Time,10.93335,8.497577,-3.780480190536103
KDI-W-Snowdrift,jra5-All-Time,15.983322,12.044207,-9.216429938003717
KDI-W-Snowdrift,era5-Winter,23.529242,22.72358,-115.02748614357296
KDI-W-Snowdrift,merr-Winter,18.036158,17.77018,-67.1762512019111
KDI-W-Snowdrift,jra5-Winter,26.606697,25.958443,-147.3634649481545
KDI-W-Snowdrift,era5-Spring,12.817969,10.144648,-60.26754150834226
KDI-W-Snowdrift,merr-Spring,10.250372,8.52825,-38.18061290324772
KDI-W-Snowdrift,jra5-Spring,12.467696,9.690393,-56.964810674943024
KDI-W-Snowdrift,era5-Summer,4.053626,3.401502,-0.3778276899370481
KDI-W-Snowdrift,merr-Summer,2.7648962,2.346435,0.3589894125534846
KDI-W-Snowdrift,jra5-Summer,5.083241,4.5087047,-1.1666510939709345
KDI-W-Snowdrift,era5-Fall,10.369694,7.244956,-15.11817137788858
KDI-W-Snowdrift,merr-Fall,7.4094796,6.131275,-7.229232723221129
KDI-W-Snowdrift,jra5-Fall,12.80589,9.029316,-23.58122003919614
KDI-W-Tbot,era5-All-Time,12.115759,9.069231,-2.5576752288077813
KDI-W-Tbot,merr-All-Time,8.729021,6.6599183,-0.8466989868051562
KDI-W-Tbot,jra5-All-Time,13.979892,10.670908,-3.736665241533281
KDI-W-Tbot,era5-Winter,20.261957,19.584011,-60.33963779691515
KDI-W-Tbot,merr-Winter,14.955337,14.638147,-32.41725672369964
KDI-W-Tbot,jra5-Winter,23.377968,22.814072,-80.65671744575779
KDI-W-Tbot,era5-Spring,8.816559,6.510281,-8.82063997590501
KDI-W-Tbot,merr-Spring,6.239464,4.863858,-3.9185381532051764
KDI-W-Tbot,jra5-Spring,8.806241,6.8636065,-8.797665254194833
KDI-W-Tbot,era5-Summer,4.6302423,3.981617,-0.8258368917891459
KDI-W-Tbot,merr-Summer,2.4116757,1.9896433,0.5046725894134805
KDI-W-Tbot,jra5-Summer,5.6962996,5.1043453,-1.7633773412708802
KDI-W-Tbot,era5-Fall,9.65004,6.8329396,-9.963367178465884
KDI-W-Tbot,merr-Fall,6.7195907,5.70824,-4.3158340592620394
KDI-W-Tbot,jra5-Fall,12.082184,8.609362,-16.186074224869092
KDI-W-Trees,era5-All-Time,12.142932,9.262033,-2.330161974017446
KDI-W-Trees,merr-All-Time,8.704835,6.7029114,-0.7113516340952653
KDI-W-Trees,jra5-All-Time,13.860001,10.771214,-3.3385511631901013
KDI-W-Trees,era5-Winter,19.342321,18.187609,-15.286168401594391
KDI-W-Trees,merr-Winter,13.974339,13.240426,-7.500886458283647
KDI-W-Trees,jra5-Winter,22.362535,21.418533,-20.769268324618185
KDI-W-Trees,era5-Spring,10.842053,8.37355,-11.604637294905997
KDI-W-Trees,merr-Spring,8.170555,6.651605,-6.158307795578158
KDI-W-Trees,jra5-Spring,10.589386,8.336947,-11.023995333602096
KDI-W-Trees,era5-Summer,5.364126,4.587228,-1.1134388495125087
KDI-W-Trees,merr-Summer,2.5237179,2.038517,0.5321858971555067
KDI-W-Trees,jra5-Summer,6.430085,5.7267427,-2.0368624979293948
KDI-W-Trees,era5-Fall,9.144063,6.4582615,-4.695702891838302
KDI-W-Trees,merr-Fall,6.5441775,5.409671,-1.9172855541295157
KDI-W-Trees,jra5-Fall,11.557476,8.229896,-8.099025231377611
KDI-W-Tslp,era5-All-Time,9.646899,7.102999,-0.15659660632781214
KDI-W-Tslp,merr-All-Time,6.5934973,5.384541,0.45969605980671
KDI-W-Tslp,jra5-All-Time,11.528259,8.730659,-0.6517104864050263
