siteno,sitename,class
0,YK16-SO01,1
1,YK16-SO02,1
2,YK16-SO03,2
3,YK16-SO04,1
4,YK16-SO05,4
5,YK16-SO06,4
6,YK16-SO07,4
7,YK16-SO08,4
8,YK16-SO09,1
9,YK16-SO10,2
10,YK16-SO11,2
11,YK16-SO12,2
12,YK16-SO13,4
13,YK16-SO14,5
14,KDI-W-ShrubM1,3
15,KDI-E-Ttop,3
16,KDI-E-Wet,1
17,KDI-E-Org2,1
18,KDI-E-Tslp,3
20,KDI-E-Trees,1
22,KDI-W-Snowdrift,1
23,KDI-W-Tslp,3
24,KDI-W-Org2,1
25,KDI-W-ShrubT,1
26,KDI-W-Trees,2
27,KDI-W-Tbot,4
28,KDI-W-Wet2,2
31,KDI-W-Wet1,2
32,KDI-W-Org1,1
33,KDI-W-ShrubM2,1
34,NGO-RC-169,1
35,NGO-DD-2018,1
36,NGO-DD-2019,1
37,NGO-DD-2020,3
38,NGO-DD-2009,1
39,NGO-DD-2011,1
40,NGO-DD-2012,1
41,NGO-DD-2013,1
42,NGO-DD-2014,3
43,NGO-DD-2015,4
44,NGO-DD-2016,3
45,NGO-GU-1014,2
46,NGO-DD-2023,3
47,NGO-DD-2026,3
48,NGO-DD-2029,3
49,NGO-DD-2030,4
50,NGO-DD-2032,2
51,NGO-DD-2033,3
52,NGO-DD-2034,4
53,NGO-DD-2035,2
54,NGO-RC-162,1
55,NGO-DD-1004,3
56,NGO-DD-1012,2
57,NGO-DD-2007,3
58,NGO-DD-2004,3
59,NGO-DD-2005,3
60,NGO-DD-2006,3
61,NGO-DD-1005,1
62,NGO-DD-1009,1
63,NGO-DD-1010,1
64,NGO-DD-2008,3
65,NGO-RC-163,1
66,NGO-RC-164,1
67,NGO-RC-165,1
68,NGO-RC-166,1
69,NGO-RC-167,1
70,NGO-RC-168,2
71,NGO-RC-170,3
72,NGO-RC-171,3
73,NGO-RC-172,1
74,NGO-DD-1011,2
