Date,IPrec,AirTemp
2015-09-01 00:00:00,0.04131,5.96051
2015-09-01 01:00:00,0.02516,6.03476
2015-09-01 02:00:00,0.01872,6.03088
2015-09-01 03:00:00,0.01409,5.79892
2015-09-01 04:00:00,0.00793,5.07776
2015-09-01 05:00:00,0.00892,4.65817
2015-09-01 06:00:00,0.01427,4.78778
2015-09-01 07:00:00,0.01685,4.69543
2015-09-01 08:00:00,0.01479,4.59277
2015-09-01 09:00:00,0.01623,4.4418
2015-09-01 10:00:00,0.01772,4.24969
2015-09-01 11:00:00,0.01853,4.15717
2015-09-01 12:00:00,0.01757,3.99857
2015-09-01 13:00:00,0.01966,3.92752
2015-09-01 14:00:00,0.01808,3.68817
2015-09-01 15:00:00,0.0126,4.03561
2015-09-01 16:00:00,0.00909,4.45273
2015-09-01 17:00:00,0.01276,5.0777
2015-09-01 18:00:00,0.01234,5.61899
2015-09-01 19:00:00,0.00814,5.99777
2015-09-01 20:00:00,0.01234,6.35327
2015-09-01 21:00:00,0.01015,6.57654
2015-09-01 22:00:00,0.008,6.8862
2015-09-01 23:00:00,0.00835,7.05295
2015-09-02 00:00:00,0.00693,7.12531
2015-09-02 01:00:00,0.00367,7.03656
2015-09-02 02:00:00,0.00221,6.85907
2015-09-02 03:00:00,0.00501,6.53342
2015-09-02 04:00:00,0.01009,5.46255
2015-09-02 05:00:00,0.01545,4.66928
2015-09-02 06:00:00,0.01557,4.40292
2015-09-02 07:00:00,0.01264,4.17926
2015-09-02 08:00:00,0.00906,4.00262
2015-09-02 09:00:00,0.00442,3.8475
2015-09-02 10:00:00,0.00136,3.71082
2015-09-02 11:00:00,0.00083,3.49512
2015-09-02 12:00:00,0.00095,3.40002
2015-09-02 13:00:00,0.00208,3.24011
2015-09-02 14:00:00,0.00426,3.1131
2015-09-02 15:00:00,0.00262,3.44794
2015-09-02 16:00:00,0.00283,4.51312
2015-09-02 17:00:00,0.00581,5.44095
2015-09-02 18:00:00,0.00743,6.52979
2015-09-02 19:00:00,0.013,7.16098
2015-09-02 20:00:00,0.01884,7.73911
2015-09-02 21:00:00,0.01489,8.23166
2015-09-02 22:00:00,0.06563,8.59769
2015-09-02 23:00:00,0.23207,8.80865
2015-09-03 00:00:00,0.32019,8.81177
2015-09-03 01:00:00,0.29561,8.64597
2015-09-03 02:00:00,0.39953,8.37082
2015-09-03 03:00:00,0.40555,7.77313
2015-09-03 04:00:00,0.37894,6.43088
2015-09-03 05:00:00,0.33214,5.65131
2015-09-03 06:00:00,0.204,5.30161
2015-09-03 07:00:00,0.14435,4.9653
2015-09-03 08:00:00,0.10245,4.85443
2015-09-03 09:00:00,0.10061,4.84344
2015-09-03 10:00:00,0.1147,4.79971
2015-09-03 11:00:00,0.10728,4.80136
2015-09-03 12:00:00,0.06551,4.71432
2015-09-03 13:00:00,0.03659,4.62924
2015-09-03 14:00:00,0.01509,4.65515
2015-09-03 15:00:00,0.00373,4.83087
2015-09-03 16:00:00,0.00301,5.39392
2015-09-03 17:00:00,0.00338,5.89468
2015-09-03 18:00:00,0.00304,6.7211
2015-09-03 19:00:00,0.00186,7.6716
2015-09-03 20:00:00,0.00095,8.52057
2015-09-03 21:00:00,0.00097,9.11908
2015-09-03 22:00:00,0.00092,9.539
2015-09-03 23:00:00,0.00039,9.79495
2015-09-04 00:00:00,0.00025,9.66757
2015-09-04 01:00:00,0.00026,9.44363
2015-09-04 02:00:00,0.00027,9.24652
2015-09-04 03:00:00,0.00038,9.12589
2015-09-04 04:00:00,0.00055,8.68204
2015-09-04 05:00:00,0.001,7.97318
2015-09-04 06:00:00,0.00245,6.96799
2015-09-04 07:00:00,0.0064,6.17554
2015-09-04 08:00:00,0.01192,5.93127
2015-09-04 09:00:00,0.02133,5.60858
2015-09-04 10:00:00,0.03334,5.52722
2015-09-04 11:00:00,0.04361,5.59747
2015-09-04 12:00:00,0.05379,5.64825
2015-09-04 13:00:00,0.06748,5.65372
2015-09-04 14:00:00,0.08496,5.68472
2015-09-04 15:00:00,0.10317,5.88721
2015-09-04 16:00:00,0.12705,6.05258
2015-09-04 17:00:00,0.13904,6.41946
2015-09-04 18:00:00,0.15291,7.11722
2015-09-04 19:00:00,0.21435,7.82266
