time,sitename,obs,terr
2015-07-15,ROCKT1,11.734915,3
2015-07-15,ROCKT2,12.234781,3
2015-07-15,ROCKT3,11.4133625,3
2015-07-16,ROCKT1,12.916306,3
2015-07-16,ROCKT2,13.322292,3
2015-07-16,ROCKT3,12.342008,3
2015-07-17,ROCKT1,15.1178875,3
2015-07-17,ROCKT2,17.13848,3
2015-07-17,ROCKT3,12.922218,3
2015-07-18,ROCKT1,16.154573,3
2015-07-18,ROCKT2,18.508919,3
2015-07-18,ROCKT3,15.268179,3
2015-07-19,ROCKT1,12.559614,3
2015-07-19,ROCKT2,14.938531,3
2015-07-19,ROCKT3,11.20486,3
2015-07-20,ROCKT1,11.180058,3
2015-07-20,ROCKT2,13.34632,3
2015-07-20,ROCKT3,10.129184,3
2015-07-21,ROCKT1,10.639624,3
2015-07-21,ROCKT2,12.185021,3
2015-07-21,ROCKT3,9.126502,3
2015-07-22,ROCKT1,12.646075,3
2015-07-22,ROCKT2,14.28728,3
2015-07-22,ROCKT3,11.078369,3
2015-07-23,ROCKT1,13.478383,3
2015-07-23,ROCKT2,15.454138,3
2015-07-23,ROCKT3,11.714504,3
2015-07-24,ROCKT1,15.658064,3
2015-07-24,ROCKT2,18.476963,3
2015-07-24,ROCKT3,14.060878,3
2015-07-25,ROCKT1,16.69757,3
2015-07-25,ROCKT2,20.508078,3
2015-07-25,ROCKT3,14.400854,3
2015-07-26,ROCKT1,18.021067,3
2015-07-26,ROCKT2,21.559757,3
2015-07-26,ROCKT3,15.77344,3
2015-07-27,ROCKT1,18.365597,3
2015-07-27,ROCKT2,21.567566,3
2015-07-27,ROCKT3,16.327784,3
2015-07-28,ROCKT1,20.069937,3
2015-07-28,ROCKT2,23.364182,3
2015-07-28,ROCKT3,17.354431,3
2015-07-29,ROCKT1,19.859732,3
2015-07-29,ROCKT2,22.132265,3
2015-07-29,ROCKT3,18.233915,3
2015-07-30,ROCKT1,17.34287,3
2015-07-30,ROCKT2,19.264828,3
2015-07-30,ROCKT3,15.680646,3
2015-07-31,ROCKT1,15.953779,3
2015-07-31,ROCKT2,17.432146,3
2015-07-31,ROCKT3,14.708964,3
2015-08-01,ROCKT1,17.334063,3
2015-08-01,ROCKT2,19.199854,3
2015-08-01,ROCKT3,14.822992,3
2015-08-02,ROCKT1,19.589262,3
2015-08-02,ROCKT2,22.318512,3
2015-08-02,ROCKT3,16.107182,3
2015-08-03,ROCKT1,20.483559,3
2015-08-03,ROCKT2,23.37489,3
2015-08-03,ROCKT3,17.108438,3
2015-08-04,ROCKT1,20.791645,3
2015-08-04,ROCKT2,23.614655,3
2015-08-04,ROCKT3,17.7894,3
2015-08-05,ROCKT1,21.657398,3
2015-08-05,ROCKT2,24.526857,3
2015-08-05,ROCKT3,18.775145,3
2015-08-06,ROCKT1,21.982515,3
2015-08-06,ROCKT2,24.669292,3
2015-08-06,ROCKT3,19.403982,3
2015-08-07,ROCKT1,21.286322,3
2015-08-07,ROCKT2,23.713541,3
2015-08-07,ROCKT3,19.385502,3
2015-08-08,ROCKT1,18.112171,3
2015-08-08,ROCKT2,19.679232,3
2015-08-08,ROCKT3,17.380993,3
2015-08-09,ROCKT1,14.80263,3
2015-08-09,ROCKT2,15.238545,3
2015-08-09,ROCKT3,14.146327,3
2015-08-10,ROCKT1,16.48912,3
2015-08-10,ROCKT2,16.873741,3
2015-08-10,ROCKT3,16.729946,3
2015-08-11,ROCKT1,15.7651205,3
2015-08-11,ROCKT2,16.333603,3
2015-08-11,ROCKT3,15.201947,3
2015-08-12,ROCKT1,16.453524,3
2015-08-12,ROCKT2,17.30443,3
2015-08-12,ROCKT3,15.900309,3
2015-08-13,ROCKT1,13.725372,3
2015-08-13,ROCKT2,15.414716,3
2015-08-13,ROCKT3,12.8540535,3
2015-08-14,ROCKT1,13.389379,3
2015-08-14,ROCKT2,14.746115,3
2015-08-14,ROCKT3,12.217746,3
2015-08-15,ROCKT1,13.497815,3
2015-08-15,ROCKT2,16.48842,3
2015-08-15,ROCKT3,11.058988,3
2015-08-16,ROCKT1,14.628733,3
2015-08-16,ROCKT2,17.50002,3
2015-08-16,ROCKT3,12.997544,3
2015-08-17,ROCKT1,11.263899,3
2015-08-17,ROCKT2,14.077475,3
2015-08-17,ROCKT3,9.519147,3
2015-08-18,ROCKT1,10.904859,3
2015-08-18,ROCKT2,13.261305,3
2015-08-18,ROCKT3,8.809672,3
2015-08-19,ROCKT1,11.282822,3
2015-08-19,ROCKT2,12.298112,3
2015-08-19,ROCKT3,10.791799,3
2015-08-20,ROCKT1,8.885009,3
2015-08-20,ROCKT2,9.241504,3
2015-08-20,ROCKT3,8.631777,3
2015-08-21,ROCKT1,7.014434,3
2015-08-21,ROCKT2,7.3834877,3
2015-08-21,ROCKT3,6.6613812,3
2015-08-22,ROCKT1,7.5990634,3
2015-08-22,ROCKT2,7.9460444,3
2015-08-22,ROCKT3,7.05526,3
2015-08-23,ROCKT1,10.2157,3
2015-08-23,ROCKT2,10.454844,3
2015-08-23,ROCKT3,9.648852,3
2015-08-24,ROCKT1,10.479833,3
2015-08-24,ROCKT2,10.568319,3
2015-08-24,ROCKT3,10.39102,3
2015-08-25,ROCKT1,11.515447,3
2015-08-25,ROCKT2,12.427442,3
2015-08-25,ROCKT3,10.096144,3
2015-08-26,ROCKT1,11.729601,3
2015-08-26,ROCKT2,13.145289,3
2015-08-26,ROCKT3,10.65768,3
2015-08-27,ROCKT1,11.795936,3
2015-08-27,ROCKT2,13.705268,3
2015-08-27,ROCKT3,9.610256,3
2015-08-28,ROCKT1,12.7368555,3
2015-08-28,ROCKT2,13.741871,3
2015-08-28,ROCKT3,11.484267,3
2015-08-29,ROCKT1,10.953805,3
2015-08-29,ROCKT2,12.74719,3
2015-08-29,ROCKT3,9.208531,3
2015-08-30,ROCKT1,11.805965,3
2015-08-30,ROCKT2,13.902811,3
2015-08-30,ROCKT3,9.778337,3
2015-08-31,ROCKT1,12.115303,3
2015-08-31,ROCKT2,12.772082,3
2015-08-31,ROCKT3,11.344198,3
2015-09-01,ROCKT1,11.88473,3
2015-09-01,ROCKT2,12.258242,3
2015-09-01,ROCKT3,11.446869,3
2015-09-02,ROCKT1,10.945553,3
2015-09-02,ROCKT2,11.428153,3
2015-09-02,ROCKT3,10.771991,3
2015-09-03,ROCKT1,9.339461,3
2015-09-03,ROCKT2,10.628067,3
2015-09-03,ROCKT3,8.370441,3
2015-09-04,ROCKT1,7.8907485,3
2015-09-04,ROCKT2,10.097927,3
2015-09-04,ROCKT3,6.604236,3
2015-09-05,ROCKT1,7.7981353,3
2015-09-05,ROCKT2,9.282471,3
2015-09-05,ROCKT3,6.9937744,3
2015-09-06,ROCKT1,8.8590765,3
